Slot,Tag,Hash,Name,X,Y,Z,Yaw,Job
0,B69B9568,FDBD2F9C,wolvarkshooter,917.92,-332.03,-28.78,-36.95,y
1,2818B8E6,FDBD2F9C,wolvarkshooter,934.75,-319.23,-29.42,-36.95,y
2,310389A7,FDBD2F9C,wolvarkshooter,912.16,-316.97,-24.86,-36.95,y
3,E10358D9,FDBD2F9C,wolvarkshooter,920.29,-308.19,-24.56,-36.95,y
4,F8186998,FDBD2F9C,wolvarkshooter,939.71,-304.44,-29.25,-36.95,y
5,D3353A5B,FDBD2F9C,wolvarkshooter,942.13,-294.76,-28.74,-36.95,y
6,84ADF7EA,FDBD2F9C,wolvarkshooter,1046.47,-265.3,-25.31,4.59,y
7,9DB6C6AB,FDBD2F9C,wolvarkshooter,1052.52,-270.5,-24.29,4.59,y
8,856F9DDD,FDBD2F9C,wolvarkshooter,1000.16,-331.41,-28.28,-36.95,y
9,B759FF5F,FDBD2F9C,wolvarkshooter,1005.41,-308.43,-28.13,-36.95,y
10,AE42CE1E,FDBD2F9C,wolvarkshooter,1146.32,-266.19,-28.21,-36.95,y
11,29DAD2D1,FDBD2F9C,wolvarkshooter,1150.63,-280.01,-28.05,-36.95,y
12,30C1E390,FDBD2F9C,wolvarkshooter,1136.21,-271.31,-28.25,-36.95,y
13,3298C70D,F0315D54,wolvarkgrenadier,1073.14,-97.81,-19.84,0.0,y
14,D67A2CDE,FDBD2F9C,wolvarkshooter,1123.4,-96.51,-19.38,4.59,y
15,CF611D9F,FDBD2F9C,wolvarkshooter,1135.15,-97.13,-19.26,4.59,y
16,80208B58,FDBD2F9C,wolvarkshooter,1127.17,-95.12,-20.0,4.59,y
17,19B594CE,F0315D54,wolvarkgrenadier,1076.44,-97.81,-19.85,0.0,y
18,7A29FFA2,FDBD2F9C,wolvarkshooter,802.48,-1030.13,-29.62,58.01,y
19,2C735824,FDBD2F9C,wolvarkshooter,805.45,-1044.28,-30.09,58.01,y
20,B2F075AA,FDBD2F9C,wolvarkshooter,809.36,-1019.08,-28.53,58.01,y
21,E0C132EE,FDBD2F9C,wolvarkshooter,790.65,-1035.01,-28.6,58.01,y
22,1CD6C49E,B6FE5A75,grubb_male,638.03,-690.17,-31.4,-93.86,y
23,45232D57,3EE6BB58,grubb_female,623.9,-670.53,-31.17,-37.08,y
24,37FB975D,B6FE5A75,grubb_male,626.17,-665.27,-31.66,-17.9,y
25,6E0E7E94,3EE6BB58,grubb_female,645.13,-670.97,-31.17,-5.34,y
26,075E0BE7,FDBD2F9C,wolvarkshooter,827.98,-874.81,-20.61,24.57,y
27,1E453AA6,FDBD2F9C,wolvarkshooter,824.84,-867.56,-21.01,30.22,y
28,E2878CB7,FDBD2F9C,wolvarkshooter,821.25,-859.93,-21.01,0.0,y
