Hash,Name,HP,Faction,Spawns,Slots
5CEE67FD,clakker_male,100000,friendly,41,"8, 9, 10, 11, 12, 13, 14, 17, 19, 21, 22, 23, 24, 26, 29, 30, 31, 32, 33, 34, 39, 50, 52, 53, 65, 67, 69, 70, 79, 81, 82, 127, 128, 129, 130, 136, 139, 140, 141, 143, 145"
FFFC00CB,outlaw_shooter,60,hostile,34,"41, 42, 43, 44, 45, 46, 48, 49, 83, 84, 85, 86, 99, 100, 101, 102, 103, 104, 105, 106, 107, 109, 110, 111, 116, 117, 118, 119, 121, 122, 123, 124, 125, 126"
0E997260,clakker_female,100000,friendly,21,"15, 16, 18, 20, 25, 27, 28, 35, 36, 37, 38, 40, 51, 64, 66, 68, 80, 137, 138, 142, 144"
072A64D6,outlaw_cutter,45,hostile,20,"54, 60, 61, 63, 71, 72, 73, 87, 88, 89, 90, 91, 92, 93, 94, 108, 113, 114, 115, 120"
6CA190AC,clakker_male (variant),100000,friendly,11,"55, 56, 57, 58, 62, 74, 75, 76, 77, 78, 95"
6A6A4558,outlaw_sniper,45,hostile,5,"131, 132, 133, 134, 135"
BAF35C16,clakker_clerk,100000,friendly,4,"0, 1, 5, 6"
FF0100ED,outlaw_mortar,125,hostile,2,"146, 147"
6265E0D3,outlaw_mortar_duke,125,hostile,2,"96, 97"
4312CE47,outlawboss_lootenduke,300,hostile,2,"98, 112"
44E4794D,jailed_blisterz,100000,friendly,1,2
C58894A9,jailed_floydd,100000,friendly,1,3
9419779C,jailed_lootenduke,100000,friendly,1,4
155A0299,outlawboss_boilz,500,hostile,1,47
FF61B694,outlawboss_floydd,200,hostile,1,59
C387D977,vykkerdoc,100000,friendly,1,7
FFFFDB52,jailbreak_blisterz,100000,friendly,0,
