Key,Name,Asset,Count,Bundle,Zones,BakedZones
78DC2FAB,Canopy Tree 01,canopy_tree_01.geo,314,zonebundle_209.smb,24;25;26;27;28;100,24;25;26;27;28;100
11A524CE,Canopy Tree 01,canopy_tree_01.geo,299,zonebundle_254.smb,36;37;39;41;45,36;37;39;41;45
B627719F,Jumpable Metalcrate 01,jumpable_metalcrate_01.geo,206,zonebundle_119.smb,7;20;26;35;36;38;39;40;41;42;43;45;50;70,7;20;26;35;36;38;39;40;41;42;43;45;50;70
8342E9C0,Crate Small Lowrez 01,crate_small_lowrez_01.geo,156,zonebundle_112.smb,7;8;9;10;37;54,7;8;9;10;37;54
024B4FD8,Big Fir 02,big_fir_02.geo,148,zonebundle_157.smb,11;12;89;90;91,11;12;89;90;91
1AFE6BF8,Jumpable Metalcrate 01,jumpable_metalcrate_01.geo,110,zonebundle_332.smb,70,70
D4BB12B4,Canopy Tree 01,canopy_tree_01.geo,105,zonebundle_186.smb,17;24;25;26;27;28;36;37;39;41;45;52;53;54;56;57;66;69;70;72;125;127;128;131,17;24;25;26;27;28;36;37;39;41;45;52;53;54;56;57;66;69;70;72;125;127;128;131
F1824C1B,Barrel Explosive,barrel_explosive.geo,92,zonebundle_254.smb,36;37;39;41;45,36;37;39;41;45
A7470241,Wood Platform 01,wood_platform_01.geo,78,zonebundle_277.smb,41,41
52F85B9D,Barrel Explosive,barrel_explosive.geo,72,zonebundle_293.smb,52;53;56;57;66;69;72;131,52;53;56;57;66;69;72;131
05FC9BA6,,,71,,?,?
33814B91,Destructible Crate,destructible_crate.geo,69,zonebundle_2.smb,1;2;3;4;5;6;7;8;9;10;11;12;17;18;19;24;25;26;28;29;30;32;33;35;36;37;39;40;41;42;43;44;45;46;47;48;49;50;52;53;56;57;66;69;70;95;105;113;118;133,1;2;3;4;5;6;7;8;9;10;11;12;17;18;19;24;25;26;28;29;30;32;33;35;36;37;39;40;41;42;43;44;45;46;47;48;49;50;52;53;56;57;66;69;70;95;105;113;118;133
B8E90CBD,Big Tan Tree,Big_Tan_Tree.geo,54,zonebundle_186.smb,17;24;25;26;27;28;36;37;39;41;45;52;53;54;56;57;66;69;70;72;125;127;128;131,17;24;25;26;27;28;36;37;39;41;45;52;53;54;56;57;66;69;70;72;125;127;128;131
BDC219D1,Canopy Tree 01,canopy_tree_01.geo,51,zonebundle_297.smb,52;56;59;60;61;62;69;72,52;56;59;60;61;62;69;72
F0EF5930,Fir Tree 02,fir_tree_02.geo,48,zonebundle_159.smb,11;12,11;12
C1CA6F07,OutlawSemiAuto,outlawSemiAuto.geo,39,npc_29.smb,*,*
03DB9CFE,Big Tan Tree,Big_Tan_Tree.geo,38,zonebundle_4.smb,1;2;3;4;5;7;8;9;25;54;84,1;2;3;4;5;7;8;9;25;54;84
F72BF4E0,Cardboard Box 01,cardboard_box_01.geo,38,zonebundle_18.smb,1;2;3,1;2;3
FA1B6A4B,Power Line Wallmount 01,power_line_wallmount_01.geo,38,zonebundle_254.smb,36;37;39;41;45,36;37;39;41;45
8F5AFC5A,Barrel Explosive,barrel_explosive.geo,36,zonebundle_209.smb,24;25;26;27;28;100,24;25;26;27;28;100
F541B8BD,Destructible Barrel 01,destructible_barrel_01.geo,35,zonebundle_184.smb,17;18;19;95,17;18;19;95
40137BA6,Dead Fir 01,dead_fir_01.geo,34,zonebundle_154.smb,11;12;13;91,11;12;13;91
62FEDC92,Lores Pines 01,lores_pines_01.geo,34,zonebundle_83.smb,4;9;11;12;13;17;18;19;25;26;27;28;36;37;41;45;52;53;54;56;57;66;69;70;71;72;85;86;90;91;95;96,4;9;11;12;13;17;18;19;25;26;27;28;36;37;41;45;52;53;54;56;57;66;69;70;71;72;85;86;90;91;95;96
BEB31ED5,Box Cardboard 02,box_cardboard_02.geo,34,zonebundle_108.smb,5;9,5;9
C98E9993,Crate Small Lowrez 01,crate_small_lowrez_01.geo,34,zonebundle_272.smb,37,37
F8B48F02,Big Tan Tree,Big_Tan_Tree.geo,34,zonebundle_78.smb,4;8;9;17;18;19;24;25;26;27;28;36;37;41;45;52;53;56;57;66;69;72;84;94;95;96;100;125;127;128;131;132;133;134,4;8;9;17;18;19;24;25;26;27;28;36;37;41;45;52;53;56;57;66;69;72;84;94;95;96;100;125;127;128;131;132;133;134
79464402,Destructible Crate,destructible_crate.geo,33,zonebundle_216.smb,25;26;28;29;30;32;33,25;26;28;29;30;32;33
64E9D9DB,Big Tan Tree,Big_Tan_Tree.geo,31,zonebundle_254.smb,36;37;39;41;45,36;37;39;41;45
3BE028EE,Civilized Treasure Chest,,30,lm_level_03_tgl.smb,*,?
6108A316,Big Leaf Tree,big_leaf_tree.geo,30,zonebundle_153.smb,11;12;13;89;91,11;12;13;89;91
71BF864E,Cardboard Box 02,cardboard_box_02.geo,30,zonebundle_18.smb,1;2;3,1;2;3
F968A8E8,Lampshade 02,lampshade_02.geo,29,zonebundle_108.smb,5;9,5;9
76118CF9,Light Round Blue,light_round_blue.geo,28,zonebundle_104.smb,4,4
87142A69,Destructable Native Railing 01,destructable_native_railing_01.geo,28,zonebundle_195.smb,17,17
