Slot,Tag,Hash,Name,X,Y,Z,Yaw,Job
0,6AF93D45,FDBD2F9C,wolvarkshooter,259.45,865.01,0.32,19.14,n
1,A76FA1C8,FDBD2F9C,wolvarkshooter,289.95,918.83,8.06,19.14,n
2,BE749089,FDBD2F9C,wolvarkshooter,215.11,918.31,8.34,17.14,n
3,F1773F21,F0315D54,wolvarkgrenadier,207.52,838.49,-19.46,12.0,n
4,BE36A9E6,F0315D54,wolvarkgrenadier,207.07,843.69,-19.46,10.0,n
5,39EC8C46,FDBD2F9C,wolvarkshooter,211.55,843.68,-19.46,17.14,n
6,20F7BD07,FDBD2F9C,wolvarkshooter,212.34,838.28,-19.46,15.14,n
7,0BDAEEC4,FDBD2F9C,wolvarkshooter,220.51,783.12,11.18,13.14,n
8,12C1DF85,FDBD2F9C,wolvarkshooter,239.28,783.44,11.18,11.14,n
9,5D804942,FDBD2F9C,wolvarkshooter,258.85,783.34,11.18,9.14,n
10,A72D98A7,F0315D54,wolvarkgrenadier,307.17,891.65,0.93,8.0,n
11,449B7803,FDBD2F9C,wolvarkshooter,277.79,783.25,11.18,7.14,n
12,1468FB95,151F4B4E,shocktank,245.53,913.65,0.95,76.69,n
13,5B296D52,151F4B4E,shocktank,245.73,902.9,0.86,88.74,n
14,54BF7661,B03890D0,wolvarksniper (variant),337.46,841.63,23.66,0.0,y
15,7F9225A2,B03890D0,wolvarksniper (variant),336.69,870.19,24.04,2.0,y
16,B0EE6E6F,20F622E5,wolvarksloghandler,215.4,840.58,-19.46,6.0,n
17,8C6E754A,84AB1672,wolvarkmachinegunner,309.92,903.9,7.07,0.0,n
18,9A22795E,FDBD2F9C,wolvarkshooter,-35.63,1387.77,41.8,-141.8,n
19,EACBFF37,84AB1672,wolvarkmachinegunner,-74.38,1430.71,41.33,90.17,n
20,6A53BCDE,FDBD2F9C,wolvarkshooter,-47.45,1376.93,42.41,-149.9,n
21,917E3E63,FDBD2F9C,wolvarkshooter,-58.51,1440.27,56.18,-56.11,n
22,0FFD13ED,FDBD2F9C,wolvarkshooter,-63.66,1445.49,56.18,-56.11,n
23,90BC5454,FDBD2F9C,wolvarkshooter,-80.63,1439.81,56.18,26.92,n
24,417EEF1D,FDBD2F9C,wolvarkshooter,-94.79,1406.94,56.18,68.55,n
25,92FAEA0D,FDBD2F9C,wolvarkshooter,-95.23,1400.44,56.18,107.6,n
26,3DCB716F,FDBD2F9C,wolvarkshooter,-90.86,1388.85,69.65,141.03,n
27,24D0402E,FDBD2F9C,wolvarkshooter,-51.1,1375.77,71.14,141.03,n
28,5555B945,84AB1672,wolvarkmachinegunner,-76.62,1435.43,70.43,45.53,n
29,14A09CF5,FDBD2F9C,wolvarkshooter,-91.71,1394.42,71.13,141.03,n
30,8A81FAB0,F0315D54,wolvarkgrenadier,70.85,1458.48,41.11,-23.12,n
31,04A154D0,FDBD2F9C,wolvarkshooter,73.76,1457.98,41.24,9.43,n
32,1DBA6591,FDBD2F9C,wolvarkshooter,68.61,1454.45,41.24,39.13,n
33,95FAB52B,84AB1672,wolvarkmachinegunner,38.11,1505.35,70.29,45.83,n
34,8CE1846A,84AB1672,wolvarkmachinegunner,27.32,1468.2,70.29,115.14,n
35,0C79C783,FDBD2F9C,wolvarkshooter,40.11,1476.02,70.31,122.18,n
36,1562F6C2,FDBD2F9C,wolvarkshooter,49.39,1460.62,70.32,128.01,n
37,C024C6C3,84AB1672,wolvarkmachinegunner,43.39,1465.86,55.61,115.14,n
38,0E3F79DA,FDBD2F9C,wolvarkshooter,67.88,1456.72,55.64,-173.25,n
39,1724489B,FDBD2F9C,wolvarkshooter,45.52,1464.55,55.64,128.01,n
40,28224D00,84AB1672,wolvarkmachinegunner,42.29,1468.2,55.61,115.14,n
41,0936D106,FDBD2F9C,wolvarkshooter,69.94,1460.7,55.64,-166.31,n
42,1A142F82,84AB1672,wolvarkmachinegunner,85.66,1504.14,48.78,-62.38,n
43,030F1EC3,84AB1672,wolvarkmachinegunner,43.32,1516.37,41.04,42.63,n
44,27549440,FDBD2F9C,wolvarkshooter,35.44,1511.28,40.95,30.98,n
45,68150287,FDBD2F9C,wolvarkshooter,55.33,1506.57,40.99,-14.66,n
46,5A236005,FDBD2F9C,wolvarkshooter,85.74,1509.22,48.41,-66.51,n
47,7814CAA2,FDBD2F9C,wolvarkshooter,-29.17,1428.49,70.44,129.74,n
48,53399961,FDBD2F9C,wolvarkshooter,-31.91,1431.14,70.44,115.84,n
49,D93FF782,84AB1672,wolvarkmachinegunner,-162.02,1547.33,70.27,56.77,n
50,093F26FC,84AB1672,wolvarkmachinegunner,-199.74,1563.46,70.27,56.77,n
51,102417BD,84AB1672,wolvarkmachinegunner,-206.06,1555.19,70.27,56.77,n
52,97BC0B72,84AB1672,wolvarkmachinegunner,-201.59,1551.53,70.27,-124.59,n
53,69D768B0,FDBD2F9C,wolvarkshooter,-155.32,1610.73,55.73,-40.1,n
54,70CC59F1,FDBD2F9C,wolvarkshooter,-140.94,1584.74,55.71,-57.65,n
55,5BE10A32,FDBD2F9C,wolvarkshooter,-154.37,1634.13,55.71,48.79,n
56,42FA3B73,FDBD2F9C,wolvarkshooter,-159.53,1616.32,55.73,-64.15,n
57,967796BF,FDBD2F9C,wolvarkshooter,-140.27,1614.96,55.71,58.62,n
58,8F6CA7FE,FDBD2F9C,wolvarkshooter,-128.3,1632.97,55.68,-41.75,n
59,A58A69F0,84AB1672,wolvarkmachinegunner,-128.68,1663.49,41.21,-41.85,n
60,BED7E6E8,84AB1672,wolvarkmachinegunner,-154.82,1653.26,41.21,-36.0,n
61,F196702F,84AB1672,wolvarkmachinegunner,-112.19,1627.33,41.21,-123.63,n
62,2696FE77,FDBD2F9C,wolvarkshooter,-108.56,1624.36,40.86,-56.27,n
63,29B44407,F0315D54,wolvarkgrenadier,-109.72,1650.34,40.97,-45.74,n
64,60CD91D4,FDBD2F9C,wolvarkshooter,-153.61,1653.64,23.58,-1.27,n
65,79D6A095,FDBD2F9C,wolvarkshooter,-156.69,1653.71,23.58,-1.27,n
66,52FBF356,FDBD2F9C,wolvarkshooter,-107.83,1622.8,23.89,-71.54,n
67,4BE0C217,FDBD2F9C,wolvarkshooter,-112.9,1621.11,23.89,-71.54,n
68,25122A19,FDBD2F9C,wolvarkshooter,-154.12,1649.84,23.58,-1.27,n
69,6B91D6E9,FDBD2F9C,wolvarkshooter,-116.24,1623.15,23.89,-71.54,n
70,4253E832,B03890D0,wolvarksniper (variant),56.33,1446.2,55.91,38.22,n
71,14094FB4,B03890D0,wolvarksniper (variant),-37.4,1381.03,70.5,76.49,n
72,5991522F,B42B865B,grubbsoldier,193.8,1265.09,23.44,-118.15,n
73,72BC01EC,B42B865B,grubbsoldier,174.2,1274.96,23.44,-118.15,n
74,6BA730AD,B42B865B,grubbsoldier,187.33,1265.41,23.44,-118.15,n
75,24E6A66A,B42B865B,grubbsoldier,184.38,1262.91,23.44,-118.15,n
76,3DFD972B,B42B865B,grubbsoldier,189.88,1263.13,23.44,-118.15,n
77,16D0C4E8,B42B865B,grubbsoldier,188.63,1267.81,23.44,-118.15,n
78,E77D852B,450E9598,gloktigi,-160.89,1543.83,23.88,90.14,n
79,EEE6A73E,B03890D0,wolvarksniper (variant),-37.97,1423.94,41.1,121.75,n
80,1206D312,FDBD2F9C,wolvarkshooter,193.35,1075.37,6.67,56.5,n
81,C206026C,FDBD2F9C,wolvarkshooter,191.0,1071.83,6.67,56.5,n
82,C7EFF960,151F4B4E,shocktank,-164.81,1276.85,340.75,82.14,n
83,866A30E7,B03890D0,wolvarksniper (variant),-127.2,1171.58,336.02,116.18,y
84,C529640D,84AB1672,wolvarkmachinegunner,45.04,940.92,288.96,-40.75,n
85,DC32554C,84AB1672,wolvarkmachinegunner,32.35,949.02,290.52,-4.98,n
86,14EBDF44,84AB1672,wolvarkmachinegunner,39.59,947.4,290.21,-4.98,n
87,16AD611D,84AB1672,wolvarkmachinegunner,-58.33,973.49,270.89,-40.75,n
88,1B822685,F0315D54,wolvarkgrenadier,-48.1,982.43,272.77,-83.46,n
89,30AF7546,F0315D54,wolvarkgrenadier,-57.46,975.49,270.32,-95.09,n
90,7E2C89B6,F0315D54,wolvarkgrenadier,0.81,1092.71,262.75,-167.22,n
91,85010B0B,F0315D54,wolvarkgrenadier,-9.52,1064.83,262.75,170.47,n
92,500D4A6B,20F622E5,wolvarksloghandler,-15.87,1086.58,262.58,175.26,n
93,40F7C69B,84AB1672,wolvarkmachinegunner,-27.36,1256.04,278.05,-21.06,n
94,6BDA9558,84AB1672,wolvarkmachinegunner,-31.87,1259.64,278.05,-21.06,n
95,5501DA75,F0315D54,wolvarkgrenadier,-43.94,1168.61,277.14,-34.82,n
96,249B039F,84AB1672,wolvarkmachinegunner,-57.53,1158.66,277.19,10.69,n
97,0FB6505C,84AB1672,wolvarkmachinegunner,-58.33,973.49,270.89,-40.75,n
98,15AE2AFC,151F4B4E,shocktank,-36.58,1168.42,276.89,-65.92,n
99,70871A40,84AB1672,wolvarkmachinegunner,-176.62,1205.34,291.93,41.85,n
100,3FC68C87,84AB1672,wolvarkmachinegunner,-167.9,1209.56,291.93,34.05,n
101,26DDBDC6,84AB1672,wolvarkmachinegunner,-135.21,1220.01,291.93,-82.35,n
102,C8F8C13E,84AB1672,wolvarkmachinegunner,-142.89,1193.6,278.03,103.25,n
103,4F60DDF1,84AB1672,wolvarkmachinegunner,-173.04,1196.36,278.03,103.25,n
104,4C1AEB34,F0315D54,wolvarkgrenadier,-136.0,1194.28,277.5,122.1,n
105,321729B4,84AB1672,wolvarkmachinegunner,-137.81,1239.96,262.52,-156.47,n
106,4DD88103,F0315D54,wolvarkgrenadier,-137.14,1245.05,262.66,-157.21,n
107,71C2EFF8,151F4B4E,shocktank,-113.73,1263.6,263.18,-161.38,n
108,3D8032DE,84AB1672,wolvarkmachinegunner,-174.78,1277.21,262.34,131.48,n
109,42B178C2,84AB1672,wolvarkmachinegunner,-130.55,1303.09,262.34,-156.47,n
110,699C2B01,84AB1672,wolvarkmachinegunner,-153.94,1306.47,262.34,-156.47,n
111,72C1A419,84AB1672,wolvarkmachinegunner,-219.03,1364.35,263.17,167.24,n
112,F07D2DC1,B03890D0,wolvarksniper (variant),-110.36,1326.2,328.69,38.61,y
113,E9661C80,B03890D0,wolvarksniper (variant),-146.79,1309.1,337.85,49.54,y
114,C24B4F43,B03890D0,wolvarksniper (variant),-138.71,1314.88,332.74,49.54,y
115,57A88BAE,B03890D0,wolvarksniper (variant),-157.0,1405.88,300.41,-79.1,y
116,D0309761,B03890D0,wolvarksniper (variant),-182.06,1267.46,339.06,170.87,y
117,C92BA620,B03890D0,wolvarksniper (variant),-137.09,1315.73,332.04,49.54,y
118,E206F5E3,B03890D0,wolvarksniper (variant),-49.49,1281.42,320.06,-39.81,y
119,FB1DC4A2,B03890D0,wolvarksniper (variant),-36.95,1253.1,317.28,65.99,y
120,4EB3BAEF,B03890D0,wolvarksniper (variant),-5.91,1142.99,302.62,-84.17,y
121,0DF0EE05,84AB1672,wolvarkmachinegunner,-213.75,1370.92,263.21,-71.86,n
122,FAC3A00E,31D1280E,wolvarksniper,-64.11,1243.48,278.02,-130.5,y
123,D1EEF3CD,31D1280E,wolvarksniper,-127.27,1249.38,276.94,-159.05,y
124,F7FD967F,B03890D0,wolvarksniper (variant),-72.83,1280.28,278.02,-131.16,y
125,B45C5265,B03890D0,wolvarksniper (variant),-108.91,1217.85,321.91,65.99,y
126,AD476324,B03890D0,wolvarksniper (variant),-114.62,1209.97,336.02,65.99,y
127,176F0B2A,84AB1672,wolvarkmachinegunner,-128.1,1219.09,292.07,0.0,n
128,78745C83,FDBD2F9C,wolvarkshooter,-122.59,1212.05,292.07,101.88,n
129,C76FDA54,84AB1672,wolvarkmachinegunner,-131.47,1217.62,292.07,-75.2,n
130,FFEC404C,FDBD2F9C,wolvarkshooter,-129.64,1214.39,292.07,-81.1,n
131,DE74EB15,84AB1672,wolvarkmachinegunner,-130.94,1222.78,292.07,0.0,n
132,E6F7710D,FDBD2F9C,wolvarkshooter,-125.43,1215.74,292.07,101.88,n
133,59ECF7DA,84AB1672,wolvarkmachinegunner,-142.39,1216.13,292.07,0.0,n
134,6A897DEF,FDBD2F9C,wolvarkshooter,-131.16,1209.73,292.07,-81.1,n
135,28762E30,F0315D54,wolvarkgrenadier,-196.62,1328.56,262.66,119.6,n
