Slot,Tag,Hash,Name,X,Y,Z,Yaw,Job
0,57171B2B,65DB9849,outlaw_cutter_chippunk_tut,-261.9,301.52,1.49,-70.63,y
1,F54CC78E,65DB9849,outlaw_cutter_chippunk_tut,25.1,197.16,42.25,-20.91,y
2,7C2FF867,072A64D6,outlaw_cutter,16.55,184.55,44.89,-56.3,n
3,BA3466D0,2BEC04A1,outlaws_shooter_meleeonly,-644.31,237.16,48.58,40.34,n
4,AF6E8CA1,DDD3C8B8,outlaw_cutter_geisha,-610.45,188.38,40.84,90.65,n
5,B675BDE0,DDD3C8B8,outlaw_cutter_geisha,-623.7,217.44,40.84,90.65,n
6,88020452,2BEC04A1,outlaws_shooter_meleeonly,-653.99,230.71,40.32,39.41,n
7,B895077F,5CEE67FD,clakker_male,-715.01,140.73,53.09,-164.71,n
8,9A9815A7,65DB9849,outlaw_cutter_chippunk_tut,-73.29,215.61,17.09,-83.84,y
9,7283E197,E2B247BD,outlawboss_blisterz,-0.91,-1.23,0.0,0.0,y
10,9E0CFB14,65DB9849,outlaw_cutter_chippunk_tut,-198.42,295.99,-11.15,82.19,y
11,008FD69A,65DB9849,outlaw_cutter_chippunk_tut,-199.16,290.66,-11.31,141.46,y
12,E02F1A66,65DB9849,outlaw_cutter_chippunk_tut,-393.28,333.25,26.64,49.33,y
13,F9342B27,65DB9849,outlaw_cutter_chippunk_tut,-389.68,350.39,26.46,48.56,y
14,D21978E4,65DB9849,outlaw_cutter_chippunk_tut,-393.37,341.65,26.46,48.56,y
15,CB0249A5,65DB9849,outlaw_cutter_chippunk_tut,-434.11,396.83,39.66,80.27,y
16,8605613B,65DB9849,outlaw_cutter_chippunk_tut,-444.98,384.31,39.66,-40.44,y
17,9F1E507A,65DB9849,outlaw_cutter_chippunk_tut,-439.01,392.48,39.66,120.89,y
18,337BDE2F,65DB9849,outlaw_cutter_chippunk_tut,-333.04,295.76,10.51,124.39,y
19,652179A9,65DB9849,outlaw_cutter_chippunk_tut,-330.84,299.17,10.74,-138.48,y
20,C9EB1B61,FFFC00CB,outlaw_shooter,-460.94,375.7,39.66,139.67,y
