Hash,Name,HP,Faction,Spawns,Slots
FFFC00CB,outlaw_shooter,60,hostile,71,"45, 46, 47, 64, 65, 66, 67, 77, 81, 87, 89, 91, 92, 94, 96, 97, 99, 101, 103, 109, 110, 112, 113, 115, 116, 117, 118, 119, 120, 121, 123, 124, 125, 127, 131, 132, 134, 135, 137, 139, 142, 143, 144, 145, 153, 154, 156, 171, 173, 190, 191, 193, 194, 201, 207, 208, 209, 210, 211, 212, 213, 253, 254, 255, 256, 258, 261, 265, 266, 267, 268"
2D8CF05F,outlawsemiauto,150,hostile,39,"48, 70, 78, 79, 82, 83, 86, 88, 93, 98, 100, 104, 126, 133, 136, 138, 140, 161, 182, 186, 195, 196, 202, 203, 206, 216, 217, 218, 219, 231, 232, 233, 234, 235, 236, 246, 247, 248, 249"
5CEE67FD,clakker_male,100000,friendly,23,"1, 2, 3, 4, 5, 6, 9, 10, 11, 13, 18, 19, 20, 21, 22, 23, 24, 25, 26, 30, 31, 32, 36"
E974A99C,outlaw_hunter,45,hostile,19,"38, 39, 40, 41, 42, 43, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61"
E0A31269,outlaw_shooter_minecart,45,hostile,19,"150, 151, 152, 158, 159, 160, 162, 163, 169, 170, 172, 174, 175, 176, 177, 178, 179, 180, 181"
FF32E523,outlaw_nailer,150,hostile,17,"74, 75, 76, 84, 106, 114, 130, 183, 184, 185, 214, 215, 220, 257, 259, 263, 264"
6A6A4558,outlaw_sniper,45,hostile,16,"71, 73, 80, 95, 146, 147, 148, 149, 164, 165, 166, 167, 168, 198, 199, 200"
5629AD35,outlawsuicidebomber,150,hostile,15,"85, 105, 128, 129, 204, 205, 221, 222, 223, 224, 225, 226, 250, 251, 252"
072A64D6,outlaw_cutter,45,hostile,11,"62, 63, 69, 72, 102, 107, 108, 111, 197, 269, 272"
FF0100ED,outlaw_mortar,125,hostile,8,"227, 228, 229, 230, 237, 238, 260, 270"
0E997260,clakker_female,100000,friendly,7,"7, 8, 12, 14, 15, 33, 34"
B5A32E92,outlawflamethrower,200,hostile,5,"122, 141, 157, 187, 192"
7C6717E1,slog,3,hostile,5,"240, 241, 242, 243, 244"
BAF35C16,clakker_clerk,100000,friendly,3,"0, 27, 28"
3E4F6569,bargekeeper,100000,friendly,2,"35, 273"
3670CD9C,clakker_sleghunter,100000,friendly,2,"16, 37"
C9F81B7E,dcasteraider,250,hostile,2,"262, 271"
4E169515,lefty_lugnutz,650,hostile,2,"44, 68"
F4DC66D8,minecartxplosives,10000,hostile,2,"155, 189"
ECF8307A,skycart_joe,100000,friendly,2,"17, 29"
57009F0C,fattymcboomboom,700,hostile,1,90
018AD12D,giantslog,550,hostile,1,245
B53065FF,outlawboss_elbowz,400,hostile,1,239
0BB34EB7,xplosivesmcgee,750,hostile,1,188
