Key,Name,Asset,Count,Bundle,Zones,BakedZones
320B95D7,Joshua Tree 01,joshua_tree_01.geo,73,zonebundle_59.smb,11,11
A7EBC211,Bamboo 01,bamboo_01.geo,69,zonebundle_12.smb,1;2;3;4;5;7;8;9;13;14;15;17;18;22,1;2;3;4;5;7;8;9;13;14;15;17;18;22
E994188A,Savanna Tree 01,savanna_tree_01.geo,56,zonebundle_31.smb,1;11,1;11
705FAFB1,Indoor Hanging Lamp 01,indoor_hanging_lamp_01.geo,29,zonebundle_53.smb,10;11;12,10;11;12
A1F1AC2E,Swamp Tree 01,swamp_tree_01.geo,29,zonebundle_28.smb,1;5;6;7;9;13;14;15;16;17;18;22;23,1;5;6;7;9;13;14;15;16;17;18;22;23
A0A03892,Fly 01,fly_01.geo,26,zonebundle_20.smb,1;3;4;5;9;11,1;3;4;5;9;11
6041F530,Crate Small Lowrez 01,crate_small_lowrez_01.geo,25,zonebundle_54.smb,10;11,10;11
C336F024,Lampshade,lampshade.geo,25,zonebundle_54.smb,10;11,10;11
62670B1F,Sewerlamp 01,sewerlamp_01.geo,24,zonebundle_21.smb,1;3;4;5;9,1;3;4;5;9
22F74635,Arrow 01,arrow_01.geo,22,zonebundle_10.smb,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;22;23,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;22;23
4C370D9B,Cardboard Box 03,cardboard_box_03.geo,17,zonebundle_53.smb,10;11;12,10;11;12
876BDE3E,Cardboard Box 02,cardboard_box_02.geo,15,zonebundle_53.smb,10;11;12,10;11;12
B8FC65C7,Tire 01,tire_01.geo,15,zonebundle_54.smb,10;11,10;11
BBB292E0,Tutorial Outlaw Door,tutorial_outlaw_door.geo,14,zonebundle_15.smb,1;3;4;5;7;9;10;11;12;17;19,1;3;4;5;7;9;10;11;12;17;19
86C0D400,Palette 01,palette_01.geo,13,zonebundle_53.smb,10;11;12,10;11;12
DE1E98B0,,,13,,?,?
E153D4A7,Fern 02,Fern_02.geo,13,zonebundle_4.smb,1;2;3;4;5;6;7;8;9;14;15;17;22;23,1;2;3;4;5;6;7;8;9;14;15;17;22;23
67C7A609,Fern 01,fern_01.geo,12,zonebundle_4.smb,1;2;3;4;5;6;7;8;9;14;15;17;22;23,1;2;3;4;5;6;7;8;9;14;15;17;22;23
9889D534,Fern 01 Long Fade,fern_01_long_fade.geo,12,zonebundle_4.smb,1;2;3;4;5;6;7;8;9;14;15;17;22;23,1;2;3;4;5;6;7;8;9;14;15;17;22;23
C1E628B7,Wood Stack 01,wood_stack_01.geo,12,zonebundle_53.smb,10;11;12,10;11;12
14AC5272,Grass Thin,grass_thin.geo,11,zonebundle_4.smb,1;2;3;4;5;6;7;8;9;14;15;17;22;23,1;2;3;4;5;6;7;8;9;14;15;17;22;23
01FFAC90,Cardboard Box 01,cardboard_box_01.geo,10,zonebundle_53.smb,10;11;12,10;11;12
0436A027,Power Pole 03,power_pole_03.geo,9,zonebundle_59.smb,11,11
98233152,Sewer Ray 02,sewer_ray_02.geo,8,zonebundle_46.smb,5;22,5;22
0ED70FB0,Tutorial Escalator,Tutorial_escalator.geo,6,zonebundle_21.smb,1;3;4;5;9,1;3;4;5;9
3E681769,Tire 02,tire_02.geo,6,zonebundle_59.smb,11,11
51323D23,Cardboard Box 04,cardboard_box_04.geo,6,zonebundle_59.smb,11,11
803938A6,Tutorial Escalator,tutorial_escalator.geo,6,zonebundle_21.smb,1;3;4;5;9,1;3;4;5;9
