Slot,Tag,Hash,Name,X,Y,Z,Yaw,Job
0,52CF41DE,36ED7834,grubb_winter,-2136.6,-1437.73,15.86,0.0,y
1,034E6CF7,84AB1672,wolvarkmachinegunner,-2226.62,-1240.16,22.2,0.0,y
2,28633F34,84AB1672,wolvarkmachinegunner,-2223.82,-1224.92,25.16,0.0,y
3,7E3998B2,84AB1672,wolvarkmachinegunner,-2228.95,-1237.14,22.6,0.0,y
4,6722A9F3,84AB1672,wolvarkmachinegunner,-2228.52,-1224.19,25.94,0.0,y
5,4C0FFA30,84AB1672,wolvarkmachinegunner,-2186.02,-1234.49,22.27,0.0,y
6,8B0A163C,FDBD2F9C,wolvarkshooter,-2202.73,-1239.3,21.13,0.0,y
7,9211277D,FDBD2F9C,wolvarkshooter,-2190.71,-1232.58,22.29,0.0,y
8,15893BB2,FDBD2F9C,wolvarkshooter,-2192.19,-1256.51,17.93,0.0,y
9,0C920AF3,FDBD2F9C,wolvarkshooter,-2243.44,-1256.51,18.37,0.0,y
10,AC1202E0,FDBD2F9C,wolvarkshooter,-2243.98,-1239.27,22.44,0.0,y
11,B93C74BE,FDBD2F9C,wolvarkshooter,-2152.58,-1276.71,28.22,0.0,n
12,A02745FF,FDBD2F9C,wolvarkshooter,-2158.65,-1274.24,28.22,0.0,n
13,9B4593AC,F0315D54,wolvarkgrenadier,-2148.41,-1310.57,27.76,0.0,n
14,B068C06F,F0315D54,wolvarkgrenadier,-2143.19,-1309.01,27.57,0.0,n
15,31780E75,84AB1672,wolvarkmachinegunner,-2141.24,-1339.63,26.65,0.0,n
16,B14DCDF2,F98DFA43,grubb_armored,-2157.35,-1184.38,32.29,0.0,y
17,A856FCB3,F98DFA43,grubb_armored,-2158.61,-1186.0,32.58,0.0,y
18,837BAF70,F98DFA43,grubb_armored,-2152.09,-1202.94,31.47,0.0,y
19,2FB8B59B,36ED7834,grubb_winter,-2154.54,-1204.89,31.4,0.0,y
20,0495E658,36ED7834,grubb_winter,-2100.22,-1405.93,22.08,0.0,n
21,1D8ED719,36ED7834,grubb_winter,-2115.4,-1431.93,22.89,0.0,n
22,CC3A39B7,F98DFA43,grubb_armored,-2138.89,-1438.05,16.03,51.08,y
23,4E9225BB,36ED7834,grubb_winter,-2142.11,-1362.71,27.25,54.73,n
24,4F504F8C,36ED7834,grubb_winter,-2139.82,-1385.6,24.7,26.73,n
25,D428B6A0,36ED7834,grubb_winter,-2112.52,-1374.48,24.41,48.59,n
26,6C94D1C5,36ED7834,grubb_winter,-2111.13,-1372.18,24.39,54.73,n
27,47B98206,36ED7834,grubb_winter,-2137.12,-1384.75,24.39,54.73,n
28,7A7733CE,FDBD2F9C,wolvarkshooter,103.37,-1355.26,19.25,-46.95,n
29,A9B7D3B8,F0315D54,wolvarkgrenadier,91.76,-1250.65,26.49,159.18,n
30,829A807B,F0315D54,wolvarkgrenadier,28.88,-1249.27,25.78,-171.82,n
31,66F81534,31D1280E,wolvarksniper,126.59,-1392.64,19.8,-43.88,n
32,4DD546F7,31D1280E,wolvarksniper,-0.16,-1389.68,19.8,36.39,n
33,0F71A8F7,F0315D54,wolvarkgrenadier,26.31,-1255.53,27.87,0.0,n
34,592B0F71,F0315D54,wolvarkgrenadier,87.17,-1255.03,26.01,0.0,n
35,6B1D6DF3,F0315D54,wolvarkgrenadier,32.75,-1253.73,27.87,0.0,n
36,72065CB2,F0315D54,wolvarkgrenadier,93.62,-1256.75,26.01,0.0,n
37,8098DB44,FDBD2F9C,wolvarkshooter,170.33,-1326.6,22.29,0.0,n
38,CFD94D83,FDBD2F9C,wolvarkshooter,118.21,-1377.04,19.25,0.0,n
39,D6C27CC2,FDBD2F9C,wolvarkshooter,78.63,-1314.54,19.25,0.0,n
40,E4F41E40,FDBD2F9C,wolvarkshooter,-52.31,-1325.06,23.18,0.0,n
41,636C028F,FDBD2F9C,wolvarkshooter,5.2,-1386.97,19.73,0.0,n
42,96E649F4,FDBD2F9C,wolvarkshooter,82.18,-281.98,22.72,0.0,n
43,8FFD78B5,FDBD2F9C,wolvarkshooter,82.18,-285.7,22.72,0.0,n
44,776F70B6,FDBD2F9C,wolvarkshooter,38.73,-298.34,22.49,0.0,n
45,A4EB75A6,FDBD2F9C,wolvarkshooter,50.91,-298.25,22.57,0.0,n
46,2593BCBD,20F622E5,wolvarksloghandler,32.46,-245.53,30.47,0.0,n
47,469FFF35,F0315D54,wolvarkgrenadier,23.88,-305.52,22.49,0.0,n
48,BDF044E7,FDBD2F9C,wolvarkshooter,59.98,-298.25,22.72,0.0,n
49,C38DC8C1,450E9598,gloktigi,61.16,-230.65,31.2,0.0,y
50,ED4A36B5,20F622E5,wolvarksloghandler,131.4,-365.17,32.13,-133.82,n
51,A70254BD,84AB1672,wolvarkmachinegunner,-12.21,-359.27,31.72,137.62,n
52,E843C27A,84AB1672,wolvarkmachinegunner,-9.35,-362.43,31.49,137.62,n
53,F158F33B,84AB1672,wolvarkmachinegunner,128.58,-361.66,30.18,-134.05,n
54,29B983F3,31D1280E,wolvarksniper,30.22,-284.72,30.26,19.14,n
55,F45107F4,20F622E5,wolvarksloghandler,-14.67,-361.92,32.03,134.5,n
56,C7CC2111,F0315D54,wolvarkgrenadier,32.86,-411.57,16.97,63.01,n
57,ECE172D2,F0315D54,wolvarkgrenadier,-11.94,-364.92,32.42,131.85,n
58,DA75A0F8,84AB1672,wolvarkmachinegunner,131.94,-358.01,30.18,-120.36,n
59,0294D030,31D1280E,wolvarksniper,90.55,-285.74,30.69,0.0,n
60,23736969,FDBD2F9C,wolvarkshooter,51.71,-376.6,16.37,51.54,n
61,3C888DFC,20F622E5,wolvarksloghandler,60.44,-250.11,31.11,0.0,n
62,F3318178,F0315D54,wolvarkgrenadier,135.35,-361.4,31.43,-133.5,n
63,25B8AB82,FDBD2F9C,wolvarkshooter,75.89,-1026.11,18.55,-72.74,n
64,0E95F841,FDBD2F9C,wolvarkshooter,45.72,-1036.6,18.55,-72.74,n
65,178EC900,FDBD2F9C,wolvarkshooter,45.15,-1100.32,18.55,-72.74,n
66,58CF5FC7,FDBD2F9C,wolvarkshooter,45.72,-1049.04,18.55,-72.74,n
67,41D46E86,FDBD2F9C,wolvarkshooter,45.12,-1085.26,18.55,-72.74,n
68,6AF93D45,FDBD2F9C,wolvarkshooter,76.13,-1079.74,18.55,-72.74,n
69,73E20C04,FDBD2F9C,wolvarkshooter,76.13,-1059.9,18.55,-72.74,n
70,A76FA1C8,FDBD2F9C,wolvarkshooter,76.13,-1097.9,18.55,-72.74,n
71,BE749089,FDBD2F9C,wolvarkshooter,77.94,-1113.47,18.55,-72.74,n
72,BFB6FABE,FDBD2F9C,wolvarkshooter,75.42,-1117.58,18.55,-72.74,n
73,382EE671,FDBD2F9C,wolvarkshooter,44.37,-1074.68,18.55,47.42,n
74,449B7803,FDBD2F9C,wolvarkshooter,123.48,-814.74,40.06,-153.57,n
75,6FB62BC0,FDBD2F9C,wolvarkshooter,133.47,-796.42,40.06,-153.57,n
76,76AD1A81,FDBD2F9C,wolvarkshooter,109.76,-781.67,40.35,-153.57,n
77,A6ADCBFF,FDBD2F9C,wolvarkshooter,97.32,-775.84,40.05,-153.57,n
78,66F81534,31D1280E,wolvarksniper,132.41,-789.15,59.15,-99.91,n
79,4DD546F7,31D1280E,wolvarksniper,95.89,-825.65,58.7,177.93,n
80,7529CEEF,FDBD2F9C,wolvarkshooter,103.21,-830.18,39.63,140.53,n
81,7FE32475,31D1280E,wolvarksniper,60.39,-761.66,55.15,-3.97,n
82,E6B4C9E9,20F622E5,wolvarksloghandler,23.33,-772.65,47.18,89.15,n
83,E104D91A,FDBD2F9C,wolvarkshooter,41.07,-792.23,41.19,-6.27,n
84,29DD5312,FDBD2F9C,wolvarkshooter,21.13,-776.6,47.18,94.82,n
85,6C32FFAE,FDBD2F9C,wolvarkshooter,103.08,-827.65,22.46,140.53,n
86,3915D773,F0315D54,wolvarkgrenadier,145.01,-783.73,24.54,61.92,n
87,200EE632,F0315D54,wolvarkgrenadier,80.96,-787.9,22.46,61.92,n
88,0B23B5F1,F0315D54,wolvarkgrenadier,80.96,-791.37,22.09,61.92,n
89,AA4A8E59,84AB1672,wolvarkmachinegunner,-2054.96,-861.76,46.05,-100.67,n
90,5CB592A8,84AB1672,wolvarkmachinegunner,-2051.16,-868.58,46.05,-100.67,n
91,5514CB71,84AB1672,wolvarkmachinegunner,-2211.37,-1167.94,30.37,-0.0,y
92,D28CD7BE,84AB1672,wolvarkmachinegunner,-2208.44,-1168.0,30.37,-0.0,y
93,CB97E6FF,84AB1672,wolvarkmachinegunner,-2209.89,-1171.36,30.33,-0.0,y
94,B50933A1,FDBD2F9C,wolvarkshooter,-2207.7,-1171.2,30.21,-0.0,y
95,9E246062,FDBD2F9C,wolvarkshooter,-2211.91,-1171.35,30.23,-0.0,y
96,50A566D3,84AB1672,wolvarkmachinegunner,-2195.28,-972.07,38.54,17.83,n
97,6E83F02A,84AB1672,wolvarkmachinegunner,-2196.55,-972.74,38.54,17.83,n
98,1FE4F014,84AB1672,wolvarkmachinegunner,-2194.65,-973.74,38.48,17.83,n
99,45AEA3E9,84AB1672,wolvarkmachinegunner,-2196.01,-974.37,38.54,17.83,n
100,6F6C888E,FDBD2F9C,wolvarkshooter,-2195.83,-970.41,38.67,28.25,n
101,D692E55E,FDBD2F9C,wolvarkshooter,-2197.33,-971.09,38.71,19.6,n
102,A430F2CD,F98DFA43,grubb_armored,-2085.5,-947.14,58.35,176.3,n
103,8F1DA10E,F98DFA43,grubb_armored,-2083.21,-952.22,58.3,176.3,n
104,39362F08,FDBD2F9C,wolvarkshooter,-2154.53,-1053.28,41.59,179.26,y
105,7FFD532F,31D1280E,wolvarksniper,-2146.54,-984.6,51.43,-0.74,y
106,3EB92976,F0315D54,wolvarkgrenadier,-2202.3,-1107.23,25.96,-58.5,n
107,15947AB5,F0315D54,wolvarkgrenadier,-2176.71,-1093.94,25.96,-58.5,n
108,1B91962B,31D1280E,wolvarksniper,-2213.49,-1087.91,29.86,-0.74,y
109,43CEDD33,F0315D54,wolvarkgrenadier,-2100.24,-1099.1,25.96,-58.5,n
110,7798C16B,84AB1672,wolvarkmachinegunner,-2134.0,-1111.99,25.5,-122.31,n
111,38D957AC,84AB1672,wolvarkmachinegunner,-2122.13,-1091.89,25.57,-64.1,n
112,49BE5792,84AB1672,wolvarkmachinegunner,-2164.57,-1093.53,25.59,-90.74,n
113,62930451,84AB1672,wolvarkmachinegunner,-2164.76,-1107.94,25.6,-90.74,n
114,0B004D8A,FDBD2F9C,wolvarkshooter,-2096.03,-1101.33,26.21,-90.74,n
115,30BCC5E8,31D1280E,wolvarksniper,-2107.37,-1092.29,35.91,-90.74,n
116,29A7F4A9,31D1280E,wolvarksniper,-2108.79,-1110.75,35.83,-90.74,n
117,0C8F4BF4,F0315D54,wolvarkgrenadier,-2100.28,-1102.44,25.96,-58.5,n
118,7677B9CF,FDBD2F9C,wolvarkshooter,-2019.44,-863.82,46.43,-90.74,n
119,CDCF6A46,FDBD2F9C,wolvarkshooter,-1993.84,-879.36,46.43,-108.95,n
120,D4D45B07,FDBD2F9C,wolvarkshooter,-2008.0,-847.72,46.43,-90.74,n
121,1DC2AEBB,20F622E5,wolvarksloghandler,-1992.79,-863.17,46.43,-95.37,n
122,68E38EF0,F0315D54,wolvarkgrenadier,-2008.62,-874.53,46.43,-74.83,n
123,CB918B8B,151F4B4E,shocktank,-1937.66,-904.41,46.43,179.26,n
124,B0B89E03,FDBD2F9C,wolvarkshooter,-2013.23,-851.44,66.33,108.51,n
125,9B95CDC0,FDBD2F9C,wolvarkshooter,-2013.25,-853.89,66.33,-53.1,n
126,828EFC81,FDBD2F9C,wolvarkshooter,-2009.91,-877.03,66.33,89.26,n
127,0516E04E,FDBD2F9C,wolvarkshooter,-2009.0,-875.08,66.33,-53.1,n
128,202D1E49,FDBD2F9C,wolvarkshooter,-1943.06,-812.49,56.48,80.05,n
129,1C0DD10F,FDBD2F9C,wolvarkshooter,-1940.71,-814.18,55.99,80.05,n
130,CF89D41F,FDBD2F9C,wolvarkshooter,-1922.82,-894.2,46.4,-172.66,n
131,B351BF18,84AB1672,wolvarkmachinegunner,-1921.28,-893.72,46.2,178.65,n
132,BCD25FFA,F0315D54,wolvarkgrenadier,-1940.87,-812.37,56.48,60.44,n
133,4441DB4D,FDBD2F9C,wolvarkshooter,-1942.96,-912.57,46.22,177.94,n
134,FDBFB69D,FDBD2F9C,wolvarkshooter,-1933.98,-912.89,46.48,-173.57,n
135,E95825D3,E7EBC893,grubb_leader,-1818.69,-1187.63,80.31,98.71,n
136,53D29632,36ED7834,grubb_winter,-1830.7,-1186.12,80.31,85.36,n
137,78FFC5F1,36ED7834,grubb_winter,-1821.88,-1185.97,80.17,-0.0,n
138,FCF1F59D,36ED7834,grubb_winter,-1830.71,-1184.25,80.18,88.87,n
139,E5EAC4DC,36ED7834,grubb_winter,-1826.66,-1185.88,80.13,-97.35,n
140,7B17B4F6,84AB1672,wolvarkmachinegunner,-2162.86,-1147.19,27.78,177.14,n
141,620C85B7,84AB1672,wolvarkmachinegunner,-2158.78,-1146.86,27.71,-169.3,n
142,9B0C3E52,F0315D54,wolvarkgrenadier,-2130.94,-1001.72,27.58,-107.17,n
143,066040B3,84AB1672,wolvarkmachinegunner,-2146.28,-1006.24,27.82,104.3,n
144,2D4D1370,84AB1672,wolvarkmachinegunner,-2162.01,-1107.74,28.31,90.59,n
145,34562231,84AB1672,wolvarkmachinegunner,-2164.78,-1109.69,28.31,90.59,n
146,B0216D91,F0315D54,wolvarkgrenadier,-2125.04,-1000.25,27.58,-95.84,n
147,A93A5CD0,F0315D54,wolvarkgrenadier,-2126.37,-1003.51,27.58,-108.45,n
148,E67BCA17,F0315D54,wolvarkgrenadier,-2139.04,-1009.02,27.58,103.47,n
149,FF60FB56,F0315D54,wolvarkgrenadier,-2141.32,-1005.25,27.59,92.0,n
150,D44DA895,F0315D54,wolvarkgrenadier,-2129.3,-998.81,27.58,-122.13,n
151,CD5699D4,F0315D54,wolvarkgrenadier,-2144.46,-1089.62,27.89,-137.99,n
152,4ACE851B,F0315D54,wolvarkgrenadier,-2141.4,-1093.01,27.89,-137.99,n
153,B2009B7D,FDBD2F9C,wolvarkshooter,-2178.42,-1137.32,42.0,141.5,n
154,A89F7E52,FDBD2F9C,wolvarkshooter,-2192.55,-1119.83,42.46,141.5,n
155,992DC8BE,FDBD2F9C,wolvarkshooter,-2157.67,-1064.74,41.65,72.1,n
156,8036F9FF,FDBD2F9C,wolvarkshooter,-2165.37,-1084.65,41.66,58.86,n
157,82170F13,F0315D54,wolvarkgrenadier,-2153.29,-973.72,42.87,100.54,n
158,CF776F38,FDBD2F9C,wolvarkshooter,-2154.98,-952.41,42.74,95.42,n
159,D66C5E79,FDBD2F9C,wolvarkshooter,-2149.77,-927.38,42.31,58.32,n
