Key,Name,Asset,Count,Bundle,Zones,BakedZones
9C3541F3,Block Torch 01,block_torch_01.geo,107,zonebundle_12.smb,1;5;15;16;17;18;19;20;22;23;24;25;26;29,1;5;15;16;17;18;19;20;22;23;24;25;26;29
7BB1EC21,Light Sconce 01,light_sconce_01.geo,64,zonebundle_71.smb,9;10;11;39,9;10;11;39
310A3B52,WolvarkShooter,wolvarkShooter.geo,62,npc_13.smb,*,*
4C59BF58,Sand Bags 01,sand_bags_01.geo,59,zonebundle_118.smb,20,20
0F9D4563,Light Round Orange,light_round_orange.geo,57,zonebundle_71.smb,9;10;11;39,9;10;11;39
200706F5,Native Camp Spear 01,native_camp_spear_01.geo,51,zonebundle_118.smb,20,20
980B9C0C,Barrel Explosive,barrel_explosive.geo,46,zonebundle_71.smb,9;10;11;39,9;10;11;39
782A03A7,Crate Sekto 02,crate_sekto_02.geo,44,zonebundle_74.smb,9;10,9;10
372EFB31,Cobweb Single 01,cobweb_single_01.geo,42,zonebundle_13.smb,1;7;22;23;25;26;27;29;41;48,1;7;22;23;25;26;27;29;41;48
92D6D8AB,Cobweb Single 01,cobweb_single_01.geo,42,zonebundle_13.smb,1;7;22;23;25;26;27;29;41;48,1;7;22;23;25;26;27;29;41;48
74DC7E4D,Sewerlamp 01,sewerlamp_01.geo,40,zonebundle_71.smb,9;10;11;39,9;10;11;39
4E6A0B28,Jumpable Metalcrate 01,jumpable_metalcrate_01.geo,34,zonebundle_70.smb,8,8
6E30090E,Light Warehouse 01,light_warehouse_01.geo,33,zonebundle_74.smb,9;10,9;10
6879BFCC,Dead Snow Tree 01,dead_snow_tree_01.geo,31,zonebundle_37.smb,1,1
735C5A49,Industrial Light 01,industrial_light_01.geo,31,zonebundle_76.smb,9,9
B02DE9CF,Industrial Light Glass 01,industrial_light_glass_01.geo,31,zonebundle_76.smb,9,9
F4C2858C,Snow Tree 01,snow_tree_01.geo,31,zonebundle_59.smb,5,5
7BA8A8F6,Block Torch 01,block_torch_01.geo,30,zonebundle_29.smb,1;15;16;17;18;20;24;25;26,1;15;16;17;18;20;24;25;26
C044A99F,WolvarkGrenadier,wolvarkGrenadier.geo,30,npc_15.smb,*,*
6CC3F525,WolvarkSemiAuto,wolvarkSemiAuto.geo,29,npc_18.smb,*,*
09C22826,Destructible Lightbulb,destructible_lightbulb.geo,28,zonebundle_70.smb,8,8
8C86D2AB,Cobweb Single 03,cobweb_single_03.geo,28,zonebundle_49.smb,3;35,3;35
41B64565,Destructible NPCcrate,destructible_NPCcrate.geo,27,zonebundle_70.smb,8,8
43FB37A8,De Proxy ShotObj,de_proxy_ShotObj.geo,24,zonebundle_37.smb,1,1
5C5AF221,Junk Debris 01,junk_debris_01.geo,24,zonebundle_78.smb,10,10
B00B82D1,Nonjumpable Crate 01,nonjumpable_crate_01.geo,24,zonebundle_71.smb,9;10;11;39,9;10;11;39
8E514709,Plank Fallen 03,plank_fallen_03.geo,22,zonebundle_118.smb,20,20
9183E213,Cobweb Single 04,cobweb_single_04.geo,22,zonebundle_49.smb,3;35,3;35
4DBC85E9,Snow Tree 02,snow_tree_02.geo,21,zonebundle_124.smb,24,24
CB28F747,Snow Tree 01,snow_tree_01.geo,21,zonebundle_124.smb,24,24
DACE808F,Junk Debris 02,junk_debris_02.geo,19,zonebundle_78.smb,10,10
16EFB2ED,Cargo Container 04,cargo_container_04.geo,18,zonebundle_70.smb,8,8
7256F722,Snow Tree 02,snow_tree_02.geo,18,zonebundle_59.smb,5,5
B2E16671,Lampshade,lampshade.geo,17,zonebundle_76.smb,9,9
C14E73A0,Cobweb Single 01,cobweb_single_01.geo,16,zonebundle_62.smb,7,7
A0979B46,Power Pole Facility Large,power_pole_facility_large.geo,15,zonebundle_70.smb,8,8
1BBCEFB7,Native Tank Trap 01,native_tank_trap_01.geo,14,zonebundle_37.smb,1,1
815E2619,Nonjumpable Crate 01,nonjumpable_crate_01.geo,14,zonebundle_37.smb,1,1
F516C5DF,Mooring 01,mooring_01.geo,14,zonebundle_71.smb,9;10;11;39,9;10;11;39
FEBE7109,Crate Sekto 01,crate_sekto_01.geo,14,zonebundle_74.smb,9;10,9;10
135E3E29,,,13,,?,?
6549D077,Keg Wall 02,keg_wall_02.geo,13,zonebundle_74.smb,9;10,9;10
6D9D4828,Plank Fallen 02,plank_fallen_02.geo,12,zonebundle_124.smb,24,24
