Slot,Tag,Hash,Name,X,Y,Z,Yaw,Job
0,19DF353B,BAF35C16,clakker_clerk,-23.54,0.91,-0.1,-180.0,n
1,13518227,5CEE67FD,clakker_male,6.87,1.98,0.51,2.0,y
2,5C1014E0,5CEE67FD,clakker_male,-24.79,0.83,0.0,0.0,n
3,03399A16,5CEE67FD,clakker_male,-292.36,755.17,82.78,8.0,y
4,1A22AB57,5CEE67FD,clakker_male,-273.47,746.16,83.14,6.0,y
5,55633D90,5CEE67FD,clakker_male,-236.05,631.71,82.74,4.0,y
6,4C780CD1,5CEE67FD,clakker_male,-223.54,699.95,82.2,2.0,y
7,23C4E3DD,0E997260,clakker_female,-242.24,732.33,82.55,0.0,y
8,5B20CC56,0E997260,clakker_female,-229.25,635.17,82.03,0.0,y
9,DCB8D099,5CEE67FD,clakker_male,-269.25,555.17,74.83,-53.96,y
10,C5A3E1D8,5CEE67FD,clakker_male,-219.25,575.17,79.83,126.04,y
11,EE8EB21B,5CEE67FD,clakker_male,-227.27,704.6,81.88,-86.45,y
12,B8D4159D,0E997260,clakker_female,-235.73,555.69,75.73,0.0,y
13,D6679EFF,5CEE67FD,clakker_male,-242.67,707.2,82.38,93.55,y
14,CF7CAFBE,0E997260,clakker_female,-259.18,581.89,78.86,0.0,y
15,07D6BBDF,0E997260,clakker_female,-221.43,680.36,82.52,-86.45,y
16,5CF12916,3670CD9C,clakker_sleghunter,-274.42,582.83,78.24,0.0,y
17,6A8C5654,ECF8307A,skycart_joe,-239.07,706.33,81.94,0.0,y
18,2C664B6D,5CEE67FD,clakker_male,-237.94,678.77,82.11,93.55,y
19,357D7A2C,5CEE67FD,clakker_male,-241.27,699.59,81.92,93.55,y
20,1E5029EF,5CEE67FD,clakker_male,-242.17,721.86,82.13,-86.45,y
21,B697E45B,5CEE67FD,clakker_male,-227.69,621.17,82.4,14.0,y
22,310FF894,5CEE67FD,clakker_male,-229.39,695.63,82.56,12.0,y
23,2814C9D5,5CEE67FD,clakker_male,-236.13,751.45,82.14,10.0,y
24,A4E9F23B,5CEE67FD,clakker_male,-246.78,769.33,82.89,91.06,n
25,EBA864FC,5CEE67FD,clakker_male,-234.35,742.31,82.3,-24.01,n
26,F2B355BD,5CEE67FD,clakker_male,-233.58,730.82,82.39,91.06,n
27,AFFD6CB4,BAF35C16,clakker_clerk,-316.78,432.44,70.19,116.1,y
28,A1188FF5,BAF35C16,clakker_clerk,-299.45,439.73,85.62,-63.03,y
29,72A7335E,ECF8307A,skycart_joe,-356.09,319.42,60.86,0.0,y
30,906FD75B,5CEE67FD,clakker_male,-379.35,285.02,53.53,0.0,y
31,DF2E419C,5CEE67FD,clakker_male,-385.24,285.02,53.53,0.0,y
32,F403125F,5CEE67FD,clakker_male,-347.58,284.17,53.93,0.0,y
33,5FC812F7,0E997260,clakker_female,-347.17,263.13,53.0,0.0,y
34,6DFE7075,0E997260,clakker_female,-359.25,263.13,53.0,0.0,y
35,370F2D96,3E4F6569,bargekeeper,-391.29,224.56,50.2,0.0,y
36,C69B35AF,5CEE67FD,clakker_male,-262.63,257.28,50.01,0.0,y
37,EA4D304A,3670CD9C,clakker_sleghunter,-320.12,442.96,85.64,0.0,y
38,30FDEE73,E974A99C,outlaw_hunter,-358.08,127.87,159.89,51.51,y
39,02CB8CF1,E974A99C,outlaw_hunter,-341.1,258.0,142.85,-15.72,y
40,54912B77,E974A99C,outlaw_hunter,-395.11,272.09,148.33,-135.39,y
41,4D8A1A36,E974A99C,outlaw_hunter,-444.39,121.32,146.67,48.36,y
42,66A749F5,E974A99C,outlaw_hunter,-323.18,77.19,151.05,-77.36,y
43,1BD0BDB0,E974A99C,outlaw_hunter,-317.04,-89.65,148.02,62.27,y
44,49BB201E,4E169515,lefty_lugnutz,-452.71,-397.86,71.08,-72.47,y
45,6F884300,FFFC00CB,outlaw_shooter,-392.34,-357.4,64.15,-135.95,y
46,44A510C3,FFFC00CB,outlaw_shooter,-388.57,-359.17,64.36,-133.14,y
47,5DBE2182,FFFC00CB,outlaw_shooter,-386.33,-322.21,56.63,-135.95,y
48,C28954A4,2D8CF05F,outlawsemiauto,-384.01,-323.45,56.63,-133.14,y
49,7D1120F3,E974A99C,outlaw_hunter,-537.29,-414.79,80.9,25.22,y
50,197DE5F7,E974A99C,outlaw_hunter,-436.07,-395.85,70.92,97.5,y
51,3250B634,E974A99C,outlaw_hunter,-453.17,-397.79,71.01,-90.94,y
52,2B4B8775,E974A99C,outlaw_hunter,-458.27,-409.1,71.18,-119.89,y
53,ACD39BBA,E974A99C,outlaw_hunter,-436.07,-395.85,70.92,97.5,y
54,B5C8AAFB,E974A99C,outlaw_hunter,-453.17,-397.79,71.01,-90.94,y
55,A2C6B65F,E974A99C,outlaw_hunter,-458.27,-409.1,71.18,-119.89,y
56,BBDD871E,E974A99C,outlaw_hunter,-436.07,-395.85,70.92,97.5,y
57,90F0D4DD,E974A99C,outlaw_hunter,-453.17,-397.79,71.01,-90.94,y
58,89EBE59C,E974A99C,outlaw_hunter,-458.27,-409.1,71.18,-119.89,y
59,C6AA735B,E974A99C,outlaw_hunter,-436.07,-395.85,70.92,97.5,y
60,DFB1421A,E974A99C,outlaw_hunter,-453.17,-397.79,71.01,-90.94,y
61,F49C11D9,E974A99C,outlaw_hunter,-458.27,-409.1,71.18,-119.89,y
62,13C69EC8,072A64D6,outlaw_cutter,-386.81,-320.87,56.63,-125.51,n
63,38EBCD0B,072A64D6,outlaw_cutter,-382.52,-323.1,56.63,-122.45,n
64,12FFB745,FFFC00CB,outlaw_shooter,-393.84,-357.97,64.36,-135.95,n
65,0BE48604,FFFC00CB,outlaw_shooter,-390.2,-359.71,64.7,-133.14,n
66,39D2E486,FFFC00CB,outlaw_shooter,-499.96,-441.98,64.88,-127.33,n
67,76937241,FFFC00CB,outlaw_shooter,-539.05,-426.67,62.42,113.31,n
68,4A06AD38,4E169515,lefty_lugnutz,-449.89,-400.93,71.91,-157.55,n
69,13362744,072A64D6,outlaw_cutter,-200.01,166.69,117.03,-9.43,n
70,92ED57AF,2D8CF05F,outlawsemiauto,-194.84,184.02,119.87,-0.0,n
71,7C507C9A,6A6A4558,outlaw_sniper,-206.4,177.2,126.38,42.87,n
72,210045C6,072A64D6,outlaw_cutter,-201.49,170.65,116.63,-7.45,n
73,577D2F59,6A6A4558,outlaw_sniper,-183.66,180.18,127.37,-39.35,n
74,B9C0046C,FF32E523,outlaw_nailer,-199.21,184.59,119.81,-16.8,n
75,A1B37AEF,FF32E523,outlaw_nailer,-185.31,186.26,120.85,-30.93,n
76,A0DB352D,FF32E523,outlaw_nailer,-134.95,138.58,133.58,82.44,n
77,7AD2D45A,FFFC00CB,outlaw_shooter,-75.34,131.19,132.31,-50.02,y
