Key,Name,Asset,Count,Bundle,Zones,BakedZones
AC49F62E,Pallet Lowrez 01,pallet_lowrez_01.geo,514,zonebundle_158.smb,14;17;18;20;21;22;23;25,14;17;18;20;21;22;23;25
D66A4462,Fir Tree 02,fir_tree_02.geo,294,zonebundle_20.smb,1;2;3;4;5;40;41,1;2;3;4;5;40;41
A88E9080,Lodgepole Pine 01,lodgepole_pine_01.geo,274,zonebundle_20.smb,1;2;3;4;5;40;41,1;2;3;4;5;40;41
68067785,Canopy Tree 01,canopy_tree_01.geo,221,zonebundle_102.smb,9;10;43,9;10;43
7D9EC36E,Lorez Fir 01,lorez_fir_01.geo,203,zonebundle_93.smb,6,6
EE248812,Light Warehouse 01,light_warehouse_01.geo,200,zonebundle_22.smb,1;2;3;4;6;7;8;9;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;31;42;51;52;54;55;56;58;59;60;61;62;63;64;65;66,1;2;3;4;6;7;8;9;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;31;42;51;52;54;55;56;58;59;60;61;62;63;64;65;66
B2ED5C63,Crate Small Lowrez 01,crate_small_lowrez_01.geo,139,zonebundle_243.smb,23;26,23;26
310A3B52,WolvarkShooter,wolvarkShooter.geo,119,npc_19.smb,*,*
CE0ABAE5,Crate Large Lowres 01,crate_large_lowres_01.geo,114,zonebundle_244.smb,23,23
DD4EB8CC,Fly 02,fly_02.geo,102,zonebundle_136.smb,13;14;17;18;19;20;21;22;25;26;54;55;64,13;14;17;18;19;20;21;22;25;26;54;55;64
428641FD,Roof Tiles,roof_tiles.geo,97,zonebundle_211.smb,17;21;22;25;58;59;62,17;21;22;25;58;59;62
33A74617,Jumpable Metalcrate 01,jumpable_metalcrate_01.geo,80,zonebundle_140.smb,13;14;18;19;20;21;23;24;25;26,13;14;18;19;20;21;23;24;25;26
A9B45443,Pallet Lowrez 02,pallet_lowrez_02.geo,71,zonebundle_130.smb,12,12
54E29D88,Fir Tree 02,fir_tree_02.geo,69,zonebundle_10.smb,1;2;3;4;5;6;12;29;32;35;37;39;41;42;48,1;2;3;4;5;6;12;29;32;35;37;39;41;42;48
898679B6,Aspen 01,aspen_01.geo,66,zonebundle_20.smb,1;2;3;4;5;40;41,1;2;3;4;5;40;41
B94B8463,Block Torch 01,block_torch_01.geo,50,zonebundle_55.smb,2;6;7;8;9,2;6;7;8;9
12D51B63,Wolvark Panel Neon 01,wolvark_panel_neon_01.geo,49,zonebundle_211.smb,17;21;22;25;58;59;62,17;21;22;25;58;59;62
7EA82273,Panel Blue Bottom,panel_blue_bottom.geo,49,zonebundle_211.smb,17;21;22;25;58;59;62,17;21;22;25;58;59;62
86F61ECB,Panel Blue Top,panel_blue_top.geo,49,zonebundle_211.smb,17;21;22;25;58;59;62,17;21;22;25;58;59;62
E14A8F36,De Locker,de_locker.geo,49,zonebundle_220.smb,18;19;21;25;55,18;19;21;25;55
51E8E476,Lodgepole Pine 01,lodgepole_pine_01.geo,47,zonebundle_11.smb,1;2;3;4;5;6;12;29;32;35;37;40;41;47;49;70;72;76,1;2;3;4;5;6;12;29;32;35;37;40;41;47;49;70;72;76
3D358C1D,Trashcan 01,trashcan_01.geo,45,zonebundle_110.smb,11;13;14;17;18;19;20;21;22;23;24;25;26,11;13;14;17;18;19;20;21;22;23;24;25;26
8B46ADA2,Nonjumpable Crate 01,nonjumpable_crate_01.geo,45,zonebundle_33.smb,1;2;4;42,1;2;4;42
374D45F2,Florescent Lamp 01,florescent_lamp_01.geo,44,zonebundle_107.smb,11;13;14;15;16;17;18;19;20;21;22;23;24;25;26;55;64,11;13;14;15;16;17;18;19;20;21;22;23;24;25;26;55;64
6574D33D,Blue Nonjumpable Crate 01,blue_nonjumpable_crate_01.geo,41,zonebundle_130.smb,12,12
F6C1C0F6,Crate Med Lowrez 01,crate_med_lowrez_01.geo,41,zonebundle_244.smb,23,23
FD0A81E1,Moth 01,moth_01.geo,39,zonebundle_110.smb,11;13;14;17;18;19;20;21;22;23;24;25;26,11;13;14;17;18;19;20;21;22;23;24;25;26
E0DBFB90,Destructible Crate,destructible_crate.geo,38,zonebundle_33.smb,1;2;4;42,1;2;4;42
01167513,Block Torch 01,block_torch_01.geo,35,zonebundle_74.smb,6;7;8;9;27;28;30;31;33;34;35;36;45,6;7;8;9;27;28;30;31;33;34;35;36;45
654EE1DE,Rubber Floormat 01,rubber_floormat_01.geo,35,zonebundle_136.smb,13;14;17;18;19;20;21;22;25;26;54;55;64,13;14;17;18;19;20;21;22;25;26;54;55;64
A2D70AF7,Trash Bag Pile 02,trash_bag_pile_02.geo,34,zonebundle_136.smb,13;14;17;18;19;20;21;22;25;26;54;55;64,13;14;17;18;19;20;21;22;25;26;54;55;64
240E460D,Industrial Light 01,industrial_light_01.geo,32,zonebundle_39.smb,1;15;16;18;25,1;15;16;18;25
BD865F71,Industrial Light Glass 01,industrial_light_glass_01.geo,32,zonebundle_39.smb,1;15;16;18;25,1;15;16;18;25
D80A7B54,Trash Bag 01,trash_bag_01.geo,31,zonebundle_136.smb,13;14;17;18;19;20;21;22;25;26;54;55;64,13;14;17;18;19;20;21;22;25;26;54;55;64
76704FAB,Power Pole Facility 01,power_pole_facility_01.geo,29,zonebundle_30.smb,1;2;4;12;14;17;18;20;21;22;23;58,1;2;4;12;14;17;18;20;21;22;23;58
D81C8394,Cargo Container 02,cargo_container_02.geo,29,zonebundle_119.smb,12;14;17;21;22;23;25,12;14;17;21;22;23;25
2F6A0FE3,Fluorescent Animated 01,fluorescent_animated_01.geo,28,zonebundle_144.smb,13;17;19;21;26,13;17;19;21;26
D2B8B2B6,Wolvark Shield 01,wolvark_shield_01.geo,26,zonebundle_175.smb,14;18;19;25;26,14;18;19;25;26
24437859,Trash Bag Pile 01,trash_bag_pile_01.geo,25,zonebundle_136.smb,13;14;17;18;19;20;21;22;25;26;54;55;64,13;14;17;18;19;20;21;22;25;26;54;55;64
6E57DED0,Cardboard Box 02,cardboard_box_02.geo,25,zonebundle_107.smb,11;13;14;15;16;17;18;19;20;21;22;23;24;25;26;55;64,11;13;14;15;16;17;18;19;20;21;22;23;24;25;26;55;64
E06C393B,Wolvark Vest 01,wolvark_vest_01.geo,25,zonebundle_175.smb,14;18;19;25;26,14;18;19;25;26
2F5B70B5,Basalt Cluster 01,basalt_cluster_01.geo,24,zonebundle_37.smb,1;6;8;12;27;28;29;30;31;33;34;35;36;37;67;69;73;75,1;6;8;12;27;28;29;30;31;33;34;35;36;37;67;69;73;75
4217E53D,Fly 01,fly_01.geo,24,zonebundle_20.smb,1;2;3;4;5;40;41,1;2;3;4;5;40;41
5E88F13A,Cargo Container 01,cargo_container_01.geo,24,zonebundle_244.smb,23,23
0E456089,Cargo Container 04,cargo_container_04.geo,23,zonebundle_67.smb,4;12;14;22;23;42,4;12;14;22;23;42
12EF1498,Destructible Crate03,destructible_crate03.geo,23,zonebundle_208.smb,17;20;21,17;20;21
DDE6C25E,Wolvark Stool,wolvark_stool.geo,23,zonebundle_174.smb,14;18;19;20,14;18;19;20
D6B60C3B,Warning Light,warning_light.geo,22,zonebundle_110.smb,11;13;14;17;18;19;20;21;22;23;24;25;26,11;13;14;17;18;19;20;21;22;23;24;25;26
E0896636,Red Nonjumpable Crate 01,red_nonjumpable_crate_01.geo,21,zonebundle_130.smb,12,12
E66743B4,,,21,,?,?
FCD43846,,,21,,?,?
13405031,Cargo Container 03,cargo_container_03.geo,20,zonebundle_191.smb,14;23,14;23
6599738A,Lorez Fir 01,lorez_fir_01.geo,20,zonebundle_71.smb,5,5
C8D478F0,Sign Sektosconcegreen,sign_sektosconcegreen.geo,20,zonebundle_151.smb,14;17;18;19;20;21;22;23;24;25;26;55;58;59;60;61;62;66,14;17;18;19;20;21;22;23;24;25;26;55;58;59;60;61;62;66
14AC5272,Grass Thin,grass_thin.geo,18,zonebundle_9.smb,1;2;3;4;5;6;9;10;12;27;28;29;30;31;32;36;37;47,1;2;3;4;5;6;9;10;12;27;28;29;30;31;32;36;37;47
25C4F035,Lorez Fir 01,lorez_fir_01.geo,17,zonebundle_267.smb,32,32
71FB8EF8,Power Lines 01,power_lines_01.geo,17,zonebundle_188.smb,14;22;23;65;66,14;22;23;65;66
B1C294B3,Beaker 01,beaker_01.geo,17,zonebundle_208.smb,17;20;21,17;20;21
C4D09F5D,Barrel Explosive,barrel_explosive.geo,17,zonebundle_158.smb,14;17;18;20;21;22;23;25,14;17;18;20;21;22;23;25
E1F59881,Locker 03,locker_03.geo,17,zonebundle_140.smb,13;14;18;19;20;21;23;24;25;26,13;14;18;19;20;21;23;24;25;26
47B94F9E,Barrel Explosive,barrel_explosive.geo,16,zonebundle_130.smb,12,12
87AA2362,Destructible Lightbulb,destructible_lightbulb.geo,16,zonebundle_130.smb,12,12
8FFA475A,Wolvark Table 01,wolvark_table_01.geo,16,zonebundle_237.smb,20,20
C1ED5544,Nonjumpable Crate 01,nonjumpable_crate_01.geo,16,zonebundle_119.smb,12;14;17;21;22;23;25,12;14;17;21;22;23;25
BFD7DF9B,Barrel Explosive,barrel_explosive.geo,15,zonebundle_33.smb,1;2;4;42,1;2;4;42
E8C3AC7E,Cardboard Box 01,cardboard_box_01.geo,15,zonebundle_158.smb,14;17;18;20;21;22;23;25,14;17;18;20;21;22;23;25
5E9E09FA,Trash Bag 02,trash_bag_02.geo,14,zonebundle_136.smb,13;14;17;18;19;20;21;22;25;26;54;55;64,13;14;17;18;19;20;21;22;25;26;54;55;64
B87A081B,Wolvark Dining Table,wolvark_dining_table.geo,14,zonebundle_237.smb,20,20
62FEDC92,Lores Pines 01,lores_pines_01.geo,13,zonebundle_10.smb,1;2;3;4;5;6;12;29;32;35;37;39;41;42;48,1;2;3;4;5;6;12;29;32;35;37;39;41;42;48
1D8A164B,Native Shelf 02,native_shelf_02.geo,12,zonebundle_93.smb,6,6
6429F5EC,Blue Nonjumpable Crate 01,blue_nonjumpable_crate_01.geo,12,zonebundle_196.smb,15;16,15;16
9B1E64E5,Native Shelf 01,native_shelf_01.geo,12,zonebundle_93.smb,6,6
C044A99F,WolvarkGrenadier,wolvarkGrenadier.geo,12,npc_16.smb,*,*
C519B32C,Cargo Container 05,cargo_container_05.geo,12,zonebundle_67.smb,4;12;14;22;23;42,4;12;14;22;23;42
C5C92A2C,Drop Spot Indicator 01,drop_spot_indicator_01.geo,12,zonebundle_130.smb,12,12
774DE733,Sign Sekto 03,sign_sekto_03.geo,11,zonebundle_158.smb,14;17;18;20;21;22;23;25,14;17;18;20;21;22;23;25
893E5051,Sign Oldposter 08,sign_oldposter_08.geo,11,zonebundle_208.smb,17;20;21,17;20;21
D0587941,Lodgepole Pine 01,lodgepole_pine_01.geo,11,zonebundle_130.smb,12,12
0EDB5389,Wolvark Tableshelf 03,wolvark_tableshelf_03.geo,10,zonebundle_201.smb,17;18;20;23;25;60,17;18;20;23;25;60
16465863,Wolvark Shelf Units 03,wolvark_shelf_units_03.geo,10,zonebundle_178.smb,14;18;20;25;26,14;18;20;25;26
1EBEA275,Street Lamp 01,street_lamp_01.geo,10,zonebundle_93.smb,6,6
206A75AA,De TripleBarrel Explosive,de_tripleBarrel_Explosive.geo,10,zonebundle_33.smb,1;2;4;42,1;2;4;42
6D1B88DC,Warning Light 02,warning_light_02.geo,10,zonebundle_151.smb,14;17;18;19;20;21;22;23;24;25;26;55;58;59;60;61;62;66,14;17;18;19;20;21;22;23;24;25;26;55;58;59;60;61;62;66
7B23D5B9,Sewerlamp 01,sewerlamp_01.geo,10,zonebundle_42.smb,2;3;4;11;12;13;25,2;3;4;11;12;13;25
AC3D398A,Locker 01,locker_01.geo,10,zonebundle_157.smb,14;17;18;19;20;23;25;26;54,14;17;18;19;20;23;25;26;54
F89D6D41,Destructible Barrel 01,destructible_barrel_01.geo,10,zonebundle_119.smb,12;14;17;21;22;23;25,12;14;17;21;22;23;25
2AA94B24,Locker 02,locker_02.geo,9,zonebundle_157.smb,14;17;18;19;20;23;25;26;54,14;17;18;19;20;23;25;26;54
