Hash,Name,HP,Faction,Spawns,Slots
FFFC00CB,outlaw_shooter,60,hostile,126,"3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 28, 31, 32, 38, 86, 87, 88, 89, 90, 109, 110, 130, 131, 132, 133, 134, 137, 140, 141, 144, 145, 146, 150, 151, 153, 155, 156, 157, 161, 162, 163, 164, 168, 169, 175, 176, 182, 183, 184, 187, 188, 189, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 208, 209, 210, 211, 212, 214, 215, 216, 217, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 235, 236, 238, 240, 241, 242, 243, 244, 245, 246, 247, 251, 252, 253, 254, 255, 256, 259, 260, 261, 262, 263, 264, 265, 267, 268, 270, 271, 272, 273, 277, 278, 279, 280, 281, 283"
2F1D4FF5,sewerslog,9,hostile,39,"83, 84, 85, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128"
B6FE5A75,grubb_male,100000,friendly,19,"64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82"
5CEE67FD,clakker_male,100000,friendly,15,"0, 1, 2, 37, 39, 42, 44, 46, 48, 51, 53, 54, 55, 57, 58"
FF0100ED,outlaw_mortar,125,hostile,14,"33, 34, 35, 36, 142, 152, 154, 165, 237, 239, 258, 274, 275, 276"
5629AD35,outlawsuicidebomber,150,hostile,13,"138, 139, 158, 159, 160, 166, 167, 172, 173, 174, 177, 185, 186"
6A6A4558,outlaw_sniper,45,hostile,10,"135, 136, 170, 171, 178, 179, 190, 234, 248, 249"
6CA190AC,clakker_male (variant),100000,friendly,7,"15, 16, 17, 18, 19, 20, 21"
FF32E523,outlaw_nailer,150,hostile,7,"180, 181, 206, 207, 250, 257, 269"
0E997260,clakker_female,100000,friendly,6,"25, 40, 41, 43, 45, 56"
2D8CF05F,outlawsemiauto,150,hostile,5,"143, 203, 204, 205, 282"
7C6717E1,slog,3,hostile,5,"59, 60, 61, 62, 63"
072A64D6,outlaw_cutter,45,hostile,3,"4, 29, 30"
C766CCA2,eugeneius,100000,friendly,2,"52, 266"
606283C9,farmerbeaks,100000,friendly,2,"22, 49"
2F4A8582,femaleclakker,100000,friendly,2,"26, 27"
B5A32E92,outlawflamethrower,200,hostile,2,"147, 148"
AB444625,sewerworker,100000,friendly,2,"47, 129"
BAF35C16,clakker_clerk,100000,friendly,1,50
35179A52,jomama,1500,hostile,1,213
B28A48AA,meaglymcgraw,500,hostile,1,24
2B6A3743,patrackpalooka,900,hostile,1,149
4D82B2A2,tiny(?),600,hostile,1,23
