"Slot","Offset","Hash","Name","HP","Faction","WeaponHash","FireRateMs"
"0","0x019CD5","BAF35C16","clakker_clerk","100000","friendly","",""
"1","0x01FD50","5CEE67FD","clakker_male","100000","friendly","",""
"2","0x022832","5CEE67FD","clakker_male","100000","friendly","",""
"3","0x02CCF9","5CEE67FD","clakker_male","100000","friendly","",""
"4","0x02CE00","5CEE67FD","clakker_male","100000","friendly","",""
"5","0x02CF07","5CEE67FD","clakker_male","100000","friendly","",""
"6","0x02D00E","5CEE67FD","clakker_male","100000","friendly","",""
"7","0x02D153","0E997260","clakker_female","100000","friendly","",""
"8","0x02D21C","0E997260","clakker_female","100000","friendly","",""
"9","0x02D2E5","5CEE67FD","clakker_male","100000","friendly","",""
"10","0x02D3AE","5CEE67FD","clakker_male","100000","friendly","",""
"11","0x02D4B5","5CEE67FD","clakker_male","100000","friendly","",""
"12","0x02D5BC","0E997260","clakker_female","100000","friendly","",""
"13","0x02D685","5CEE67FD","clakker_male","100000","friendly","",""
"14","0x02D78C","0E997260","clakker_female","100000","friendly","",""
"15","0x02E916","0E997260","clakker_female","100000","friendly","",""
"16","0x02EA1D","3670CD9C","clakker_sleghunter","100000","friendly","",""
"17","0x02EAE6","ECF8307A","skycart_joe","100000","friendly","",""
"18","0x02EBAF","5CEE67FD","clakker_male","100000","friendly","",""
"19","0x02EC78","5CEE67FD","clakker_male","100000","friendly","",""
"20","0x02ED41","5CEE67FD","clakker_male","100000","friendly","",""
"21","0x02EE0A","5CEE67FD","clakker_male","100000","friendly","",""
"22","0x02EF11","5CEE67FD","clakker_male","100000","friendly","",""
"23","0x02F018","5CEE67FD","clakker_male","100000","friendly","",""
"24","0x02F8FF","5CEE67FD","clakker_male","100000","friendly","",""
"25","0x02F9C8","5CEE67FD","clakker_male","100000","friendly","",""
"26","0x02FA91","5CEE67FD","clakker_male","100000","friendly","",""
"27","0x03BCC1","BAF35C16","clakker_clerk","100000","friendly","",""
"28","0x04DAFA","BAF35C16","clakker_clerk","100000","friendly","",""
"29","0x04DBC3","ECF8307A","skycart_joe","100000","friendly","",""
"30","0x04DC8C","5CEE67FD","clakker_male","100000","friendly","",""
"31","0x04DD55","5CEE67FD","clakker_male","100000","friendly","",""
"32","0x04DE1E","5CEE67FD","clakker_male","100000","friendly","",""
"33","0x04DEE7","0E997260","clakker_female","100000","friendly","",""
"34","0x04DFB0","0E997260","clakker_female","100000","friendly","",""
"35","0x04E079","3E4F6569","bargekeeper","100000","friendly","",""
"36","0x04E142","5CEE67FD","clakker_male","100000","friendly","",""
"37","0x04E20B","3670CD9C","clakker_sleghunter","100000","friendly","",""
"38","0x064E7D","E974A99C","outlaw_hunter","45","hostile","A2F96A40","399"
"39","0x0652C3","E974A99C","outlaw_hunter","45","hostile","A2F96A40","399"
"40","0x06653F","E974A99C","outlaw_hunter","45","hostile","A2F96A40","399"
"41","0x0669D5","E974A99C","outlaw_hunter","45","hostile","A2F96A40","399"
"42","0x066E1B","E974A99C","outlaw_hunter","45","hostile","A2F96A40","399"
"43","0x06A58A","E974A99C","outlaw_hunter","45","hostile","A2F96A40","399"
"44","0x07D02F","4E169515","lefty_lugnutz","650","hostile","5DD83C1D","1000"
"45","0x07D0F8","FFFC00CB","outlaw_shooter","60","hostile","F0DF813D","1300"
"46","0x07D1C1","FFFC00CB","outlaw_shooter","60","hostile","F0DF813D","1300"
"47","0x07D28A","FFFC00CB","outlaw_shooter","60","hostile","F0DF813D","1300"
"48","0x07D353","2D8CF05F","outlawsemiauto","150","hostile","1855F4F7","10000"
"49","0x07D41C","E974A99C","outlaw_hunter","45","hostile","A2F96A40","399"
"50","0x07D4E5","E974A99C","outlaw_hunter","45","hostile","A2F96A40","399"
"51","0x07D5AE","E974A99C","outlaw_hunter","45","hostile","A2F96A40","399"
"52","0x07D677","E974A99C","outlaw_hunter","45","hostile","A2F96A40","399"
"53","0x07D740","E974A99C","outlaw_hunter","45","hostile","A2F96A40","399"
"54","0x07D809","E974A99C","outlaw_hunter","45","hostile","A2F96A40","399"
"55","0x07D8D2","E974A99C","outlaw_hunter","45","hostile","A2F96A40","399"
"56","0x07D99B","E974A99C","outlaw_hunter","45","hostile","A2F96A40","399"
"57","0x07DA64","E974A99C","outlaw_hunter","45","hostile","A2F96A40","399"
