"Slot","Offset","Hash","Name","HP","Faction","WeaponHash","FireRateMs"
"0","0x00A7FB","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"1","0x00A8C4","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"2","0x00A98D","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"3","0x00AA56","F0315D54","wolvarkgrenadier","100","hostile","DD9EBAEC","0"
"4","0x00AB1F","F0315D54","wolvarkgrenadier","100","hostile","DD9EBAEC","0"
"5","0x00ABE8","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"6","0x00ACB1","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"7","0x00AD7A","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"8","0x00AE43","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"9","0x00AF0C","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"10","0x00AFD5","F0315D54","wolvarkgrenadier","100","hostile","DD9EBAEC","0"
"11","0x00B09E","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"12","0x00B167","151F4B4E","shocktank","750","hostile","3CCD4DF1","5000"
"13","0x00B230","151F4B4E","shocktank","750","hostile","3CCD4DF1","5000"
"14","0x00B2F9","B03890D0","wolvarksniper (variant)","45","hostile","D8770155","399"
"15","0x00B3C2","B03890D0","wolvarksniper (variant)","45","hostile","D8770155","399"
"16","0x00B48B","20F622E5","wolvarksloghandler","125","hostile","1F311F32","0"
"17","0x00B554","84AB1672","wolvarkmachinegunner","125","hostile","8DD16F6E","10000"
"18","0x0204A9","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"19","0x020572","84AB1672","wolvarkmachinegunner","125","hostile","8DD16F6E","10000"
"20","0x02063B","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"21","0x020704","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"22","0x0207CD","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"23","0x020896","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"24","0x02095F","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"25","0x020A28","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"26","0x020AF1","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"27","0x020BBA","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"28","0x020C83","84AB1672","wolvarkmachinegunner","125","hostile","8DD16F6E","10000"
"29","0x020D4C","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"30","0x020E15","F0315D54","wolvarkgrenadier","100","hostile","DD9EBAEC","0"
"31","0x020EDE","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"32","0x020FA7","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"33","0x021070","84AB1672","wolvarkmachinegunner","125","hostile","8DD16F6E","10000"
"34","0x021139","84AB1672","wolvarkmachinegunner","125","hostile","8DD16F6E","10000"
"35","0x021202","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"36","0x0212CB","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"37","0x021394","84AB1672","wolvarkmachinegunner","125","hostile","8DD16F6E","10000"
"38","0x02145D","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"39","0x021526","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"40","0x0215EF","84AB1672","wolvarkmachinegunner","125","hostile","8DD16F6E","10000"
"41","0x0216B8","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"42","0x021781","84AB1672","wolvarkmachinegunner","125","hostile","8DD16F6E","10000"
"43","0x02184A","84AB1672","wolvarkmachinegunner","125","hostile","8DD16F6E","10000"
"44","0x021913","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"45","0x0219DC","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"46","0x021AA5","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"47","0x021DDE","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"48","0x021EA7","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"49","0x021F70","84AB1672","wolvarkmachinegunner","125","hostile","8DD16F6E","10000"
"50","0x022039","84AB1672","wolvarkmachinegunner","125","hostile","8DD16F6E","10000"
"51","0x022102","84AB1672","wolvarkmachinegunner","125","hostile","8DD16F6E","10000"
"52","0x0221CB","84AB1672","wolvarkmachinegunner","125","hostile","8DD16F6E","10000"
"53","0x022294","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"54","0x02235D","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"55","0x022426","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"56","0x0224EF","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"57","0x0225B8","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"58","0x022681","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"59","0x02274A","84AB1672","wolvarkmachinegunner","125","hostile","8DD16F6E","10000"
"60","0x022813","84AB1672","wolvarkmachinegunner","125","hostile","8DD16F6E","10000"
"61","0x0228DC","84AB1672","wolvarkmachinegunner","125","hostile","8DD16F6E","10000"
"62","0x0229A5","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"63","0x022A6E","F0315D54","wolvarkgrenadier","100","hostile","DD9EBAEC","0"
"64","0x022B37","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"65","0x022C00","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"66","0x022CC9","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"67","0x022D92","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"68","0x022E5B","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"69","0x022F24","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"70","0x02413B","B03890D0","wolvarksniper (variant)","45","hostile","D8770155","399"
"71","0x024204","B03890D0","wolvarksniper (variant)","45","hostile","D8770155","399"
"72","0x0242CD","B42B865B","grubbsoldier","100","hostile","",""
"73","0x024396","B42B865B","grubbsoldier","100","hostile","",""
"74","0x02445F","B42B865B","grubbsoldier","100","hostile","",""
"75","0x024528","B42B865B","grubbsoldier","100","hostile","",""
"76","0x0245F1","B42B865B","grubbsoldier","100","hostile","",""
"77","0x0246BA","B42B865B","grubbsoldier","100","hostile","",""
"78","0x024783","450E9598","gloktigi","2000","hostile","E02E448F","0"
"79","0x02484C","B03890D0","wolvarksniper (variant)","45","hostile","D8770155","399"
"80","0x048EFB","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"81","0x048FC4","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"82","0x063FC3","151F4B4E","shocktank","750","hostile","3CCD4DF1","5000"
"83","0x06786D","B03890D0","wolvarksniper (variant)","45","hostile","D8770155","399"
"84","0x067936","84AB1672","wolvarkmachinegunner","125","hostile","8DD16F6E","10000"
"85","0x0679FF","84AB1672","wolvarkmachinegunner","125","hostile","8DD16F6E","10000"
"86","0x067AC8","84AB1672","wolvarkmachinegunner","125","hostile","8DD16F6E","10000"
"87","0x067B91","84AB1672","wolvarkmachinegunner","125","hostile","8DD16F6E","10000"
"88","0x067C5A","F0315D54","wolvarkgrenadier","100","hostile","DD9EBAEC","0"
"89","0x067D23","F0315D54","wolvarkgrenadier","100","hostile","DD9EBAEC","0"
"90","0x067DEC","F0315D54","wolvarkgrenadier","100","hostile","DD9EBAEC","0"
"91","0x067EB5","F0315D54","wolvarkgrenadier","100","hostile","DD9EBAEC","0"
"92","0x067F7E","20F622E5","wolvarksloghandler","125","hostile","1F311F32","0"
"93","0x068047","84AB1672","wolvarkmachinegunner","125","hostile","8DD16F6E","10000"
"94","0x068110","84AB1672","wolvarkmachinegunner","125","hostile","8DD16F6E","10000"
"95","0x0681D9","F0315D54","wolvarkgrenadier","100","hostile","DD9EBAEC","0"
"96","0x0682A2","84AB1672","wolvarkmachinegunner","125","hostile","8DD16F6E","10000"
"97","0x06836B","84AB1672","wolvarkmachinegunner","125","hostile","8DD16F6E","10000"
"98","0x068434","151F4B4E","shocktank","750","hostile","3CCD4DF1","5000"
"99","0x0684FD","84AB1672","wolvarkmachinegunner","125","hostile","8DD16F6E","10000"
"100","0x0685C6","84AB1672","wolvarkmachinegunner","125","hostile","8DD16F6E","10000"
"101","0x06868F","84AB1672","wolvarkmachinegunner","125","hostile","8DD16F6E","10000"
"102","0x068758","84AB1672","wolvarkmachinegunner","125","hostile","8DD16F6E","10000"
"103","0x068821","84AB1672","wolvarkmachinegunner","125","hostile","8DD16F6E","10000"
"104","0x0688EA","F0315D54","wolvarkgrenadier","100","hostile","DD9EBAEC","0"
"105","0x0689B3","84AB1672","wolvarkmachinegunner","125","hostile","8DD16F6E","10000"
"106","0x068A7C","F0315D54","wolvarkgrenadier","100","hostile","DD9EBAEC","0"
"107","0x068B45","151F4B4E","shocktank","750","hostile","3CCD4DF1","5000"
"108","0x068C0E","84AB1672","wolvarkmachinegunner","125","hostile","8DD16F6E","10000"
"109","0x068CD7","84AB1672","wolvarkmachinegunner","125","hostile","8DD16F6E","10000"
"110","0x068DA0","84AB1672","wolvarkmachinegunner","125","hostile","8DD16F6E","10000"
"111","0x0695FE","84AB1672","wolvarkmachinegunner","125","hostile","8DD16F6E","10000"
"112","0x0696C7","B03890D0","wolvarksniper (variant)","45","hostile","D8770155","399"
"113","0x069790","B03890D0","wolvarksniper (variant)","45","hostile","D8770155","399"
"114","0x069859","B03890D0","wolvarksniper (variant)","45","hostile","D8770155","399"
"115","0x069922","B03890D0","wolvarksniper (variant)","45","hostile","D8770155","399"
"116","0x0699EB","B03890D0","wolvarksniper (variant)","45","hostile","D8770155","399"
"117","0x069AB4","B03890D0","wolvarksniper (variant)","45","hostile","D8770155","399"
"118","0x069B7D","B03890D0","wolvarksniper (variant)","45","hostile","D8770155","399"
"119","0x069C46","B03890D0","wolvarksniper (variant)","45","hostile","D8770155","399"
"120","0x069D0F","B03890D0","wolvarksniper (variant)","45","hostile","D8770155","399"
"121","0x069DD8","84AB1672","wolvarkmachinegunner","125","hostile","8DD16F6E","10000"
"122","0x069EA1","31D1280E","wolvarksniper","45","hostile","D8770155","399"
"123","0x069F6A","31D1280E","wolvarksniper","45","hostile","D8770155","399"
"124","0x06A033","B03890D0","wolvarksniper (variant)","45","hostile","D8770155","399"
"125","0x06A0FC","B03890D0","wolvarksniper (variant)","45","hostile","D8770155","399"
"126","0x06A1C5","B03890D0","wolvarksniper (variant)","45","hostile","D8770155","399"
"127","0x074639","84AB1672","wolvarkmachinegunner","125","hostile","8DD16F6E","10000"
"128","0x076283","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"129","0x07634C","84AB1672","wolvarkmachinegunner","125","hostile","8DD16F6E","10000"
"130","0x076415","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"131","0x0764DE","84AB1672","wolvarkmachinegunner","125","hostile","8DD16F6E","10000"
"132","0x0765A7","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"133","0x076670","84AB1672","wolvarkmachinegunner","125","hostile","8DD16F6E","10000"
"134","0x076739","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"135","0x07BC09","F0315D54","wolvarkgrenadier","100","hostile","DD9EBAEC","0"
"136","0x07BCD2","F0315D54","wolvarkgrenadier","100","hostile","DD9EBAEC","0"
"137","0x07BD9B","F0315D54","wolvarkgrenadier","100","hostile","DD9EBAEC","0"
"138","0x0856F8","E33BE973","wolvarkgunner","175","hostile","5207CB4E","2000"
"139","0x0857C1","E33BE973","wolvarkgunner","175","hostile","5207CB4E","2000"
"140","0x08588A","E33BE973","wolvarkgunner","175","hostile","5207CB4E","2000"
"141","0x085953","B42B865B","grubbsoldier","100","hostile","",""
"142","0x085A1C","B42B865B","grubbsoldier","100","hostile","",""
"143","0x085AE5","B42B865B","grubbsoldier","100","hostile","",""
"144","0x085BAE","B42B865B","grubbsoldier","100","hostile","",""
"145","0x08BA6B","879B644E","(unidentified)","150","hostile","D47DD06D","0"
"146","0x08F9C2","B42B865B","grubbsoldier","100","hostile","",""
"147","0x08FA8B","B42B865B","grubbsoldier","100","hostile","",""
"148","0x08FB54","B42B865B","grubbsoldier","100","hostile","",""
"149","0x08FC1D","B42B865B","grubbsoldier","100","hostile","",""
"150","0x08FCE6","B42B865B","grubbsoldier","100","hostile","",""
"151","0x08FDAF","B42B865B","grubbsoldier","100","hostile","",""
"152","0x08FE78","B42B865B","grubbsoldier","100","hostile","",""
"153","0x0A6722","300596C6","armoredgloktigi","2000","hostile","E02E448F","0"
"154","0x0A67EB","300596C6","armoredgloktigi","2000","hostile","E02E448F","0"
"155","0x0A68B4","CAB666AF","sektosdeathray","5000","hostile","A3AFA465","2000"
"156","0x0BA978","97C44232","sektoboss","300","hostile","977879D2","0"
