"Slot","Offset","Hash","Name","HP","Faction","WeaponHash","FireRateMs"
"0","0x01055B","36ED7834","grubb_winter","100000","friendly","",""
"1","0x011B51","84AB1672","wolvarkmachinegunner","125","hostile","8DD16F6E","10000"
"2","0x011C1A","84AB1672","wolvarkmachinegunner","125","hostile","8DD16F6E","10000"
"3","0x011CE3","84AB1672","wolvarkmachinegunner","125","hostile","8DD16F6E","10000"
"4","0x011DAC","84AB1672","wolvarkmachinegunner","125","hostile","8DD16F6E","10000"
"5","0x011E75","84AB1672","wolvarkmachinegunner","125","hostile","8DD16F6E","10000"
"6","0x011F3E","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"7","0x012007","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"8","0x0120D0","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"9","0x012199","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"10","0x012262","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"11","0x01232B","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"12","0x0123F4","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"13","0x0124BD","F0315D54","wolvarkgrenadier","100","hostile","DD9EBAEC","0"
"14","0x012586","F0315D54","wolvarkgrenadier","100","hostile","DD9EBAEC","0"
"15","0x01264F","84AB1672","wolvarkmachinegunner","125","hostile","8DD16F6E","10000"
"16","0x012718","F98DFA43","grubb_armored","100000","friendly","",""
"17","0x0127E1","F98DFA43","grubb_armored","100000","friendly","",""
"18","0x0128AA","F98DFA43","grubb_armored","100000","friendly","",""
"19","0x012973","36ED7834","grubb_winter","100000","friendly","",""
"20","0x012A3C","36ED7834","grubb_winter","100000","friendly","",""
"21","0x012B05","36ED7834","grubb_winter","100000","friendly","",""
"22","0x012BCE","F98DFA43","grubb_armored","100000","friendly","",""
"23","0x0181C9","36ED7834","grubb_winter","100000","friendly","",""
"24","0x018292","36ED7834","grubb_winter","100000","friendly","",""
"25","0x01835B","36ED7834","grubb_winter","100000","friendly","",""
"26","0x018424","36ED7834","grubb_winter","100000","friendly","",""
"27","0x0184ED","36ED7834","grubb_winter","100000","friendly","",""
"28","0x022364","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"29","0x023748","F0315D54","wolvarkgrenadier","100","hostile","DD9EBAEC","0"
"30","0x023811","F0315D54","wolvarkgrenadier","100","hostile","DD9EBAEC","0"
"31","0x0241F5","31D1280E","wolvarksniper","45","hostile","D8770155","399"
"32","0x0242BE","31D1280E","wolvarksniper","45","hostile","D8770155","399"
"33","0x027630","F0315D54","wolvarkgrenadier","100","hostile","DD9EBAEC","0"
"34","0x0276F9","F0315D54","wolvarkgrenadier","100","hostile","DD9EBAEC","0"
"35","0x0277C2","F0315D54","wolvarkgrenadier","100","hostile","DD9EBAEC","0"
"36","0x02788B","F0315D54","wolvarkgrenadier","100","hostile","DD9EBAEC","0"
"37","0x027954","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"38","0x027A1D","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"39","0x027AE6","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"40","0x027BAF","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"41","0x027C78","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"42","0x033DCA","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"43","0x033E93","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"44","0x0356FE","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"45","0x0357C7","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"46","0x035890","20F622E5","wolvarksloghandler","125","hostile","1F311F32","0"
"47","0x035959","F0315D54","wolvarkgrenadier","100","hostile","DD9EBAEC","0"
"48","0x035A22","FDBD2F9C","wolvarkshooter","175","hostile","5207CB4E","2000"
"49","0x03AAC9","450E9598","gloktigi","2000","hostile","E02E448F","0"
"50","0x03AB92","20F622E5","wolvarksloghandler","125","hostile","1F311F32","0"
"51","0x03AC5B","84AB1672","wolvarkmachinegunner","125","hostile","8DD16F6E","10000"
"52","0x03AD24","84AB1672","wolvarkmachinegunner","125","hostile","8DD16F6E","10000"
"53","0x03ADED","84AB1672","wolvarkmachinegunner","125","hostile","8DD16F6E","10000"
"54","0x03AEB6","31D1280E","wolvarksniper","45","hostile","D8770155","399"
"55","0x03AF7F","20F622E5","wolvarksloghandler","125","hostile","1F311F32","0"
"56","0x03B048","F0315D54","wolvarkgrenadier","100","hostile","DD9EBAEC","0"
