Key,Name,Asset,Count,Bundle,Zones,BakedZones
05FC9BA6,,,126,,?,?
629593BF,GenericBone,genericBone.geo,117,zonebundle_402.smb,72,72
0E7F2336,Jumpable Metalcrate 01,jumpable_metalcrate_01.geo,115,zonebundle_395.smb,67,67
5796D63B,Destructible Railing 01,destructible_railing_01.geo,84,zonebundle_299.smb,43;44;45;46;47;48;49;50;121,43;44;45;46;47;48;49;50;121
6FE6B4E1,Perforated Catwalk,perforated_catwalk.geo,75,zonebundle_237.smb,27;28;30;33,27;28;30;33
CE28E024,Sewer Ray 02,sewer_ray_02.geo,74,zonebundle_231.smb,27;28;30;32;33;34;59;111,27;28;30;32;33;34;59;111
DFD4EDC2,Cactus Tall 01,cactus_tall_01.geo,68,zonebundle_367.smb,59;60;67,59;60;67
8874D972,FarmHouseWallLamps,farmHouseWallLamps.geo,62,zonebundle_66.smb,2,2
C787137E,Insulator 01,insulator_01.geo,58,zonebundle_356.smb,55;56;57;58;59;60;101;131,55;56;57;58;59;60;101;131
36FE4ADF,Red Grass 01,red_grass_01.geo,50,zonebundle_4.smb,2;3;4;5;6;7;9;10;12;13;14;15;19;20;21;22;23;36;37;38;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;64;65;67;68;73;74;75;76;77;78;84;87;98;116;125;126;130,2;3;4;5;6;7;9;10;12;13;14;15;19;20;21;22;23;36;37;38;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;64;65;67;68;73;74;75;76;77;78;84;87;98;116;125;126;130
890BE1EF,Destructible Crate,destructible_crate.geo,48,zonebundle_220.smb,25;26;27;28;29;30;31;32;33;34;35;59,25;26;27;28;29;30;31;32;33;34;35;59
7A749528,Destructible Barrel 01,destructible_barrel_01.geo,47,zonebundle_293.smb,42;43;44;45;46;47;48;50;51;52;53;54,42;43;44;45;46;47;48;50;51;52;53;54
14A94BC5,SkullNoJaw,skullNoJaw.geo,43,zonebundle_402.smb,72,72
73B3D0DD,Cactus Tall 01,cactus_tall_01.geo,41,zonebundle_396.smb,68,68
52B5FD96,Insulator 01,insulator_01.geo,40,zonebundle_160.smb,14;15;54;55;56;57;58;59;60;61;62;64;65;67;68,14;15;54;55;56;57;58;59;60;61;62;64;65;67;68
D5DD8CDC,Rottenrails 02,rottenrails_02.geo,40,zonebundle_237.smb,27;28;30;33,27;28;30;33
7FC86BB8,Junk Big 08,junk_big_08.geo,39,zonebundle_280.smb,36;43;44;45;46;47;48;49;50;51;119;120;122,36;43;44;45;46;47;48;49;50;51;119;120;122
8E54E996,SewerSleg,sewerSleg.geo,39,npc_39.smb,*,*
02D69164,Power Line Wallmount 01,power_line_wallmount_01.geo,37,zonebundle_299.smb,43;44;45;46;47;48;49;50;121,43;44;45;46;47;48;49;50;121
BDECFB73,Cardboard Box 01,cardboard_box_01.geo,37,zonebundle_113.smb,9;10,9;10
D687C8F4,Destructible NPCcrate,destructible_NPCcrate.geo,37,zonebundle_392.smb,67;68;69,67;68;69
4E302E0E,Dead Bush 01,dead_bush_01.geo,36,zonebundle_68.smb,3;4;5;6;7;12;13;14;15;17;19;20;25;26;27;28;30;34;37;43;44;45;46;47;48;49;50;51;59;60;66;67;68;71;72;109,3;4;5;6;7;12;13;14;15;17;19;20;25;26;27;28;30;34;37;43;44;45;46;47;48;49;50;51;59;60;66;67;68;71;72;109
9FDBAC2B,Sewersludge 01,sewersludge_01.geo,36,zonebundle_219.smb,25;26;27;28;29;30;31;32;33;34;35;59;102;103;104;106;110,25;26;27;28;29;30;31;32;33;34;35;59;102;103;104;106;110
F71D6F22,Fire Flies 01,fire_flies_01.geo,36,zonebundle_403.smb,73;74;75;76;77;78;144,73;74;75;76;77;78;144
084DA72F,Barrel Moolah,barrel_moolah.geo,34,zonebundle_293.smb,42;43;44;45;46;47;48;50;51;52;53;54,42;43;44;45;46;47;48;50;51;52;53;54
4F9AF92F,De Proxy Bone,de_proxy_bone.geo,34,zonebundle_352.smb,51,51
C339407F,Cactus 01,cactus_01.geo,33,zonebundle_134.smb,12;13;14;15;68,12;13;14;15;68
E7EF4EB5,Stone Baseboard Sm 02,stone_baseboard_sm_02.geo,33,zonebundle_219.smb,25;26;27;28;29;30;31;32;33;34;35;59;102;103;104;106;110,25;26;27;28;29;30;31;32;33;34;35;59;102;103;104;106;110
3B7889DD,Cardboard Box 02,cardboard_box_02.geo,29,zonebundle_113.smb,9;10,9;10
1E815F79,Rottenrails 03,rottenrails_03.geo,28,zonebundle_237.smb,27;28;30;33,27;28;30;33
70FBE88D,Barrel Explosive,barrel_explosive.geo,28,zonebundle_392.smb,67;68;69,67;68;69
58C73A70,Junk Big 01,junk_big_01.geo,27,zonebundle_280.smb,36;43;44;45;46;47;48;49;50;51;119;120;122,36;43;44;45;46;47;48;49;50;51;119;120;122
